Sentence,Sequence
"['however', ' <COMMA> ', 'the', 'multi|ADJ', ' <HYPHEN> ', 'touch|NOUN', 'gestures|NOUN', 'and', 'large|ADJ', 'tracking|NOUN', 'area|NOUN', 'make|VERB', 'having|VERB', 'an', 'external|ADJ', 'mouse|NOUN', 'unnecessary|ADJ', ' <LEFT PARENTHESIS> ', 'unless', 'you', ""'re|VERB"", 'gaming|VERB', ' <RIGHT PARENTHESIS> ', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5]"
"['plus', 'it', 'is|VERB', 'small|ADJ', 'and', 'reasonably', 'light|ADJ', 'so', 'i', 'can|VERB', 'take|VERB', 'it', 'with', 'me', 'to', 'and', 'from', 'work|NOUN', ' <PERIOD> ']","[5, 5, 5, 3, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'hate|VERB', 'this', 'one|NOUN', ' <PERIOD> ']","[5, 3, 5, 5, 5]"
"['they', 'were|VERB', 'totally', 'unconcerned|ADJ', 'that', 'the', 'computer|NOUN', 'was|VERB', 'not', 'correctly', 'repaired|VERB', 'in', 'the', 'first|ADJ', 'place|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['toshiba|NOUN', 'does|VERB', 'not', 'send|VERB', 'any', 'one|NOUN', 'out', 'unless', 'you', 'have|VERB', 'paid|VERB', 'extra|ADJ', 'to', 'have|VERB', 'the', 'on', 'site|NOUN', 'repair|NOUN', 'done|VERB', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['oh', ' <COMMA> ', 'boy', ' <EXCLAMATION_MARK> ']","[5, 5, 5, 5]"
"['but', 'while', 'this', 'is|VERB', 'one', 'big|ADJ', 'advantage|NOUN', ' <LEFT PARENTHESIS> ', 'as', 'you', 'may|VERB', 'know|VERB', 'from', 'the', 'company|NOUN', 's', 'recent|ADJ', 'commercials|NOUN', ' <RIGHT PARENTHESIS> ', 'there', 'are|VERB', 'other|ADJ', 'things|NOUN', 'to', 'consider|VERB', 'before', 'going|VERB', 'with', 'apple|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'love|VERB', 'the', 'way|NOUN', 'the', 'entire|ADJ', 'suite|NOUN', 'of', 'software|NOUN', 'works|VERB', 'together', ' <PERIOD> ']","[5, 3, 5, 5, 5, 5, 1, 2, 2, 5, 5, 5]"
"['the', 'speed|NOUN', 'is|VERB', 'incredible|ADJ', 'and', 'i', 'am|VERB', 'more|ADJ', 'than', 'satisfied|ADJ', ' <PERIOD> ']","[5, 1, 5, 3, 5, 5, 5, 5, 5, 3, 5]"
"['on', 'the', 'bright|ADJ', 'side|NOUN', 'at', 'least|ADJ', 'i', 'was|VERB', ""n't"", 'without', 'my|ADJ', 'laptop|NOUN', 'for', 'long', 'this', 'time|NOUN', ' <EXCLAMATION_MARK> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['this', 'laptop|NOUN', 'meets|VERB', 'every', 'expectation|NOUN', 'and', 'windows', '7', 'is|VERB', 'great|ADJ', ' <EXCLAMATION_MARK> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
"['that', ""'s|VERB"", 'how', 'frustrating|ADJ', 'it', 'was|VERB', ' <PERIOD> ']","[5, 5, 5, 3, 5, 5, 5]"
"['i', 'can|VERB', 'barely', 'use|VERB', 'any', 'usb|NOUN', 'devices|NOUN', 'because', 'they', 'will|VERB', 'not', 'stay|VERB', 'connected|ADJ', 'properly', ' <PERIOD> ']","[5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 3, 5]"
"['the', 'one', 'down', 'side|NOUN', 'to', 'it', 'is|VERB', 'that', 'when', 'i', 'play|VERB', 'a', 'certin|NOUN', 'game|NOUN', 'on', 'here', ' <COMMA> ', 'it', 'tends|VERB', 'to', 'freeze|VERB', 'up', 'sometimes', ' <COMMA> ', 'but', 'that', 's|VERB', 'the', 'only|ADJ', 'bad|ADJ', 'thing|NOUN', 'about', 'this', 'computer|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5]"
"['-no', 'backlit|ADJ', 'keyboard|NOUN', ' <COMMA> ', 'but', 'not', 'an', 'issue|NOUN', 'for', 'me', ' <PERIOD> ']","[5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5]"
"['when', 'i', 'finally', 'had|VERB', 'everything|NOUN', 'running|VERB', 'with', 'all|ADJ', 'my|ADJ', 'software|NOUN', 'installed|VERB', 'i', 'plugged|VERB', 'in', 'my|ADJ', 'droid|NOUN', 'to', 'recharge|VERB', 'and', 'the', 'system|NOUN', 'crashed|VERB', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 3, 5]"
"['i', 'ca|VERB', ""n't"", 'even', 'turn|VERB', 'it', 'off', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5]"
"['one', 'suggestion|NOUN', 'i', 'do|VERB', 'have|VERB', ' <COMMA> ', 'is|VERB', 'to', 'not', 'bother|VERB', 'getting|VERB', 'microsoft|ADJ', 'office|NOUN', 'for', 'the', 'mac|NOUN', 'expecting|VERB', 'it', 'will|VERB', 'work|VERB', 'just', 'like', 'you', 'knew|VERB', 'it', 'to', 'on', 'a', 'pc|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['pairing|VERB', 'it', 'with', 'an', 'iphone|NOUN', 'is|VERB', 'a', 'pure|ADJ', 'pleasure|NOUN', ' <HYPHEN> ', 'talk|NOUN', 'about', 'painless|ADJ', 'syncing|NOUN', ' <HYPHEN> ', 'used|VERB', 'to', 'take|VERB', 'me', 'forever', ' <HYPHEN> ', 'now', 'it', ""'s|VERB"", 'a', 'snap|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'shopped|VERB', 'around', 'before', 'buying|VERB', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5]"
"['i', 'also', 'got|VERB', 'the', 'added|VERB', 'bonus|NOUN', 'of', 'a', '30', ' <QUOTATION_MARK> ', 'hd|NOUN', 'monitor|NOUN', ' <COMMA> ', 'which|ADJ', 'really', 'helps|VERB', 'to', 'extend|VERB', 'my|ADJ', 'screen|NOUN', 'and', 'keep|VERB', 'my|ADJ', 'eyes|NOUN', 'fresh|ADJ', ' <EXCLAMATION_MARK> ']","[5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['would|VERB', 'do|VERB', 'business|NOUN', 'again', ' <PERIOD> ']","[5, 5, 5, 5, 5]"
"['the', 'machine|NOUN', 'is|VERB', 'slow|ADJ', 'to', 'boot|VERB', 'up', 'and', 'occasionally', 'crashes|VERB', 'completely', ' <PERIOD> ']","[5, 5, 5, 3, 5, 1, 2, 5, 5, 3, 5, 5]"
"['after', 'paying|VERB', 'several|ADJ', 'hundred', 'dollars|NOUN', 'for', 'this', 'service|NOUN', ' <COMMA> ', 'it', 'is|VERB', 'frustrating|ADJ', 'that', 'you', 'can|VERB', 'not', 'get|VERB', 'help|NOUN', 'after', 'hours|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'have|VERB', 'had|VERB', 'the', 'luxury|NOUN', ' <LEFT PARENTHESIS> ', 'sarcasm|NOUN', ' <RIGHT PARENTHESIS> ', 'of', 'owning|VERB', '2', 'of', 'these', 'laptops|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['what|NOUN', 'a', 'waste|NOUN', ' <PERIOD> ']","[5, 5, 3, 5]"
"['it', 'was|VERB', 'a', 'total|ADJ', 'dhell|NOUN', 'experience|NOUN', 'that|ADJ', 'i', 'will|VERB', 'never', 'repeat|VERB', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['there', 'are|VERB', 'a', 'few|ADJ', 'flaws|NOUN', 'as', 'well', 'that', 'i', 'noticed|VERB', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['completely', 'worth|ADJ', 'every', 'single|ADJ', 'penny|NOUN', 'dime|NOUN', 'and', 'nickel|NOUN', ' <PERIOD> ']","[5, 3, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'tried|VERB', 'to', 'upgrade|VERB', 'it', 'to', 'a', 'newer|ADJ', 'version|NOUN', 'a', 'couple|NOUN', 'of', 'months|NOUN', 'ago', 'and', 'i', 'still', 'have|VERB', 'the', 'same|ADJ', 'problem|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'did|VERB', 'have|VERB', 'to', 'replace|VERB', 'the', 'battery|NOUN', 'once', ' <COMMA> ', 'but', 'that', 'was|VERB', 'only', 'a', 'couple|NOUN', 'months|NOUN', 'ago', 'and', 'it', ""'s|VERB"", 'been|VERB', 'working|VERB', 'perfect|ADJ', 'ever', 'since', ' <PERIOD> ']","[5, 5, 5, 5, 3, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5]"
"[':)', 'in', 'the', 'past|ADJ', 'four', 'years|NOUN', 'i', ""'ve|VERB"", 'had|VERB', 'it', 'i', 'have|VERB', 'never', 'once', 'gotten|VERB', 'a', 'virus|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'love|VERB', 'the', 'operating|NOUN', 'system|NOUN', 'and', 'the', 'preloaded|VERB', 'software|NOUN', ' <PERIOD> ']","[5, 3, 5, 1, 2, 5, 5, 1, 2, 5]"
"['they', 'were|VERB', 'great|ADJ', 'in', 'handling|VERB', 'this', 'problem|NOUN', ' <COMMA> ', 'and', 'i', ""'m|VERB"", 'looking|VERB', 'forward', 'in', 'purchasing|VERB', 'additonal|ADJ', 'products|NOUN', 'from', 'them', 'in', 'the', 'future|NOUN', ' <PERIOD> ']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', ""'ve|VERB"", 'tried|VERB', 'going|VERB', 'back', 'to', 'xl', 'but', 'there', 'still', 'problems|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'best|ADJ', 'thing|NOUN', 'about', 'this', 'laptop|NOUN', 'is|VERB', 'the', 'price|NOUN', 'along', 'with', 'some', 'of', 'the', 'newer|ADJ', 'features|NOUN', ' <PERIOD> ']","[5, 3, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 3, 1, 5]"
"['after', 'numerous|ADJ', 'attempts|NOUN', 'of', 'trying|VERB', ' <LEFT PARENTHESIS> ', 'including|VERB', 'setting|VERB', 'the', 'clock|NOUN', 'in', 'bios|NOUN', 'setup|NOUN', 'directly', ' <RIGHT PARENTHESIS> ', ' <COMMA> ', 'i', 'gave|VERB', 'up(i', 'am|VERB', 'a', 'techie|NOUN', ' <RIGHT PARENTHESIS> ', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['you', 'will|VERB', 'not', 'be|VERB', 'able|ADJ', 'to', 'talk|VERB', 'to', 'an', 'american|ADJ', 'warranty|NOUN', 'service|NOUN', 'is|VERB', 'out', 'of', 'country|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['but', 'it', 'may|VERB', 'be|VERB', 'potentially', 'hundreds|NOUN', 'or', 'thousands|NOUN', 'in', 'the', 'near|ADJ', 'future|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['has|VERB', 'met|VERB', 'or', 'exceeded|VERB', 'my|ADJ', 'needs|NOUN', 'for', 'a', 'compact|ADJ', 'travel|NOUN', 'device|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['but', 'now', 'i', 'have|VERB', 'realized|VERB', 'its|ADJ', 'a', 'problem|NOUN', 'with', 'this', 'brand|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 1, 5]"
"['it', 'can|VERB', 'not', 'save|VERB', 'the', 'correct|ADJ', 'date|NOUN', 'and', 'time|NOUN', 'i', 'set|VERB', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'sent|VERB', 'it', 'back', 'to', 'toshiba|NOUN', 'twice', 'they', 'covered|VERB', 'it', 'under', 'the', ' ', 'warranty|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5]"
"['and', 'this', 'is|VERB', ""n't"", 'just', 'my|ADJ', 'one', 'experine|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['they', 'sent|VERB', 'me', 'a', 'replacement|NOUN', 'part|NOUN', 'and', 'without', 'informing|VERB', 'me', 'are|VERB', 'requiring|VERB', 'that', 'i', 'return|VERB', 'it', 'within', '15', 'days|NOUN', 'or', 'contact|VERB', 'them', 'and', 'let|VERB', 'them', 'know|VERB', 'the', 'broken|ADJ', 'part|NOUN', 'will|VERB', 'be|VERB', 'returned|VERB', 'later', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'was|VERB', 'looking|VERB', 'for', 'a', 'mac|NOUN', 'which|ADJ', 'is|VERB', 'portable|ADJ', 'and', 'has|VERB', 'all|ADJ', 'the', 'features|NOUN', 'that|ADJ', 'i', 'was|VERB', 'looking|VERB', 'for', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5]"
"['i', 'would|VERB', 'highly', 'recommend|VERB', 'this', 'one|NOUN', 'to', 'my|ADJ', 'friends|NOUN']","[5, 5, 5, 3, 5, 5, 5, 5, 5]"
"['i', 'honestly', 'love|VERB', 'my|ADJ', 'mac|NOUN', ' <COMMA> ', 'that', 's|VERB', 'why', 'i', 'am|VERB', 'a', 'self|NOUN', 'proclaimed|VERB', 'mac|NOUN', 'addict|NOUN', ' <PERIOD> ']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['and', 'these', 'are|VERB', 'some', 'reasons|NOUN', 'you', 'should|VERB', 'get|VERB', 'a', 'macbook|NOUN', 'pro|ADJ', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['also', 'kinda', 'loud|ADJ', 'when', 'the', 'fan|NOUN', 'was|VERB', 'running|VERB', ' <PERIOD> ']","[5, 5, 3, 5, 5, 1, 5, 5, 5]"
"['in', 'desparation|NOUN', ' <COMMA> ', 'i', 'called|VERB', 'their|ADJ', 'customer|NOUN', 'service|NOUN', 'number|NOUN', 'and', 'was|VERB', 'told|VERB', 'that', 'my|ADJ', 'warranty|NOUN', 'had|VERB', 'expired|VERB', ' <LEFT PARENTHESIS> ', '2', 'days|NOUN', 'old|ADJ', ' <RIGHT PARENTHESIS> ', 'and', 'that', 'the', 'priviledge|NOUN', 'of', 'talking|VERB', 'to', 'a', 'technician|NOUN', 'would|VERB', 'cost|VERB', 'me', ' <LEFT PARENTHESIS> ', ' <QUOTATION_MARK> ', 'have|VERB', 'your|ADJ', 'credit|NOUN', 'card|NOUN', 'ready|ADJ', ' <QUOTATION_MARK> ', ' <RIGHT PARENTHESIS> ', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'purchased|VERB', 'this', 'laptop|NOUN', 'while', 'on', 'a', 'business|NOUN', 'trip|NOUN', 'to', 'keep|VERB', 'up', 'with', 'my|ADJ', 'email|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['there', 'also', 'seemed|VERB', 'to', 'be|VERB', 'a', 'problem|NOUN', 'with', 'the', 'hard|ADJ', 'disc|NOUN', 'as', 'certain|ADJ', 'times|NOUN', 'windows|VERB', 'loads|NOUN', 'but', 'claims|NOUN', 'to', 'not', 'be|VERB', 'able|ADJ', 'to', 'find|VERB', 'any', 'drivers|NOUN', 'or', 'files|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 3, 5, 5, 1, 2, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 1, 5, 5, 5]"
