Sentence,Sequence
"['One', 'night', 'I', 'turned', 'the', 'freaking', 'thing', 'off', 'after', 'using', 'it', 'the', 'next', 'day', 'I', 'turn', 'it', 'on', 'no', 'GUI', 'screen', 'all', 'dark', 'power', 'light', 'steady', 'hard', 'drive', 'light', 'steady', 'and', 'not', 'flashing', 'as', 'it', 'usually', 'does']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 1, 1, 5, 3, 1, 2, 3, 1, 2, 2, 3, 5, 5, 5, 5, 5, 5, 5]"
"['Still', 'pretty', 'pricey', 'but', 'Ive', 'been', 'putting', 'off', 'money', 'for', 'a', 'while', 'as', 'a', 'little', 'Macbook', 'Fund', 'and', 'finally', 'got', 'to', 'use', 'it']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['My', 'only', 'disappointment', 'with', 'the', '13', 'model', 'is', 'that', 'theyre', 'the', 'only', 'ones', 'in', 'the', 'MacBook', 'Pro', 'line', 'up', 'without', 'an', 'i5', 'or', 'i7', 'processor', 'and', 'dual', 'graphics', 'cards', 'however', 'the', 'tradeoff', 'is', 'that', 'you', 'achieve', 'a', 'longer', 'battery', 'life', 'of', 'about', '2', 'more', 'hours']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 1, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 3, 1, 2, 5, 5, 5, 5, 5]"
"['I', 'took', 'it', 'back', 'for', 'an', 'Asus', 'and', 'same', 'thing', 'blue', 'screen', 'which', 'required', 'me', 'to', 'remove', 'the', 'battery', 'to', 'reset']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5]"
"['In', 'the', 'shop', 'these', 'MacBooks', 'are', 'encased', 'in', 'a', 'soft', 'rubber', 'enclosure', 'so', 'you', 'will', 'never', 'know', 'about', 'the', 'razor', 'edge', 'until', 'you', 'buy', 'it', 'get', 'it', 'home', 'break', 'the', 'seal', 'and', 'use', 'it', 'very', 'clever', 'con']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['However', 'the', 'multitouch', 'gestures', 'and', 'large', 'tracking', 'area', 'make', 'having', 'an', 'external', 'mouse', 'unnecessary', 'unless', 'youre', 'gaming']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5]"
"['Plus', 'it', 'is', 'small', 'and', 'reasonably', 'light', 'so', 'I', 'can', 'take', 'it', 'with', 'me', 'to', 'and', 'from', 'work']","[5, 5, 5, 3, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['I', 'HATE', 'this', 'one']","[5, 5, 5, 5]"
"['They', 'were', 'totally', 'unconcerned', 'that', 'the', 'computer', 'was', 'not', 'correctly', 'repaired', 'in', 'the', 'first', 'place']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['Toshiba', 'does', 'not', 'send', 'any', 'one', 'out', 'unless', 'you', 'have', 'paid', 'extra', 'to', 'have', 'the', 'on', 'site', 'repair', 'done']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['Oh', 'boy']","[5, 5]"
"['But', 'while', 'this', 'is', 'one', 'big', 'advantage', 'as', 'you', 'may', 'know', 'from', 'the', 'company', 's', 'recent', 'commercials', 'there', 'are', 'other', 'things', 'to', 'consider', 'before', 'going', 'with', 'Apple']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['I', 'love', 'the', 'way', 'the', 'entire', 'suite', 'of', 'software', 'works', 'together']","[5, 3, 5, 5, 5, 5, 1, 2, 2, 5, 5]"
"['The', 'speed', 'is', 'incredible', 'and', 'I', 'am', 'more', 'than', 'satisfied']","[5, 1, 5, 3, 5, 5, 5, 5, 5, 3]"
"['on', 'the', 'bright', 'side', 'at', 'least', 'I', 'wasnt', 'without', 'my', 'laptop', 'for', 'long', 'this', 'time']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['This', 'laptop', 'meets', 'every', 'expectation', 'and', 'Windows', '7', 'is', 'great']","[5, 5, 5, 5, 5, 5, 1, 2, 5, 3]"
"['Thats', 'how', 'frustrating', 'it', 'was']","[5, 5, 3, 5, 5]"
"['I', 'can', 'barely', 'use', 'any', 'usb', 'devices', 'because', 'they', 'will', 'not', 'stay', 'connected', 'properly']","[5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 3]"
"['The', 'one', 'down', 'side', 'to', 'it', 'is', 'that', 'when', 'I', 'play', 'a', 'certin', 'game', 'on', 'here', 'it', 'tends', 'to', 'freeze', 'up', 'sometimes', 'but', 'thats', 'the', 'only', 'bad', 'thing', 'about', 'this', 'computer']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5]"
"['No', 'backlit', 'keyboard', 'but', 'not', 'an', 'issue', 'for', 'me']","[5, 5, 1, 5, 5, 5, 5, 5, 5]"
"['When', 'I', 'finally', 'had', 'everything', 'running', 'with', 'all', 'my', 'software', 'installed', 'I', 'plugged', 'in', 'my', 'droid', 'to', 'recharge', 'and', 'the', 'system', 'crashed']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 3]"
"['I', 'cant', 'even', 'turn', 'it', 'off']","[5, 5, 5, 5, 5, 5]"
"['One', 'suggestion', 'I', 'do', 'have', 'is', 'to', 'not', 'bother', 'getting', 'Microsoft', 'office', 'for', 'the', 'mac', 'expecting', 'it', 'will', 'work', 'just', 'like', 'you', 'knew', 'it', 'to', 'on', 'a', 'PC']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 2, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['Pairing', 'it', 'with', 'an', 'iPhone', 'is', 'a', 'pure', 'pleasure', 'talk', 'about', 'painless', 'syncing', 'used', 'to', 'take', 'me', 'forever', 'now', 'its', 'a', 'snap']","[5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['I', 'shopped', 'around', 'before', 'buying']","[5, 5, 5, 5, 5]"
"['I', 'also', 'got', 'the', 'added', 'bonus', 'of', 'a', '30', 'HD', 'Monitor', 'which', 'really', 'helps', 'to', 'extend', 'my', 'screen', 'and', 'keep', 'my', 'eyes', 'fresh']","[5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['Would', 'do', 'business', 'again']","[5, 5, 5, 5]"
"['The', 'machine', 'is', 'slow', 'to', 'boot', 'up', 'and', 'occasionally', 'crashes', 'completely']","[5, 5, 5, 3, 5, 1, 2, 5, 5, 3, 5]"
"['After', 'paying', 'several', 'hundred', 'dollars', 'for', 'this', 'service', 'it', 'is', 'frustrating', 'that', 'you', 'cannot', 'get', 'help', 'after', 'hours']","[5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5]"
"['I', 'have', 'had', 'the', 'luxury', 'sarcasm', 'of', 'owning', '2', 'of', 'these', 'laptops']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['What', 'a', 'waste']","[5, 5, 3]"
"['It', 'was', 'a', 'total', 'Dhell', 'experience', 'that', 'I', 'will', 'never', 'repeat']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['There', 'are', 'a', 'few', 'flaws', 'as', 'well', 'that', 'I', 'noticed']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['Completely', 'worth', 'every', 'single', 'penny', 'dime', 'and', 'nickel']","[5, 3, 5, 5, 5, 5, 5, 5]"
"['I', 'tried', 'to', 'upgrade', 'it', 'to', 'a', 'newer', 'version', 'a', 'couple', 'of', 'months', 'ago', 'and', 'I', 'still', 'have', 'the', 'same', 'problem']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['I', 'did', 'have', 'to', 'replace', 'the', 'battery', 'once', 'but', 'that', 'was', 'only', 'a', 'couple', 'months', 'ago', 'and', 'its', 'been', 'working', 'perfect', 'ever', 'since']","[5, 5, 5, 5, 3, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5]"
"['In', 'the', 'past', 'four', 'years', 'Ive', 'had', 'it', 'I', 'have', 'never', 'once', 'gotten', 'a', 'virus']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['I', 'love', 'the', 'operating', 'system', 'and', 'the', 'preloaded', 'software']","[5, 3, 5, 1, 2, 5, 5, 1, 2]"
"['They', 'were', 'great', 'in', 'handling', 'this', 'problem', 'and', 'Im', 'looking', 'forward', 'in', 'purchasing', 'additonal', 'products', 'from', 'them', 'in', 'the', 'future']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['Ive', 'tried', 'going', 'back', 'to', 'XL', 'but', 'there', 'still', 'problems']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['The', 'best', 'thing', 'about', 'this', 'laptop', 'is', 'the', 'price', 'along', 'with', 'some', 'of', 'the', 'newer', 'features']","[5, 3, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 3, 1]"
"['After', 'numerous', 'attempts', 'of', 'trying', 'including', 'setting', 'the', 'clock', 'in', 'BIOS', 'setup', 'directly', 'I', 'gave', 'upI', 'am', 'a', 'techie']","[5, 5, 5, 5, 5, 5, 5, 5, 1, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5]"
"['YOU', 'WILL', 'NOT', 'BE', 'ABLE', 'TO', 'TALK', 'TO', 'AN', 'AMERICAN', 'WARRANTY', 'SERVICE', 'IS', 'OUT', 'OF', 'COUNTRY']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5]"
"['But', 'it', 'may', 'be', 'potentially', 'hundreds', 'or', 'thousands', 'in', 'the', 'near', 'future']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['Has', 'met', 'or', 'exceeded', 'my', 'needs', 'for', 'a', 'compact', 'travel', 'device']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['but', 'now', 'i', 'have', 'realized', 'its', 'a', 'problem', 'with', 'this', 'brand']","[5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 1]"
"['It', 'cannot', 'save', 'the', 'correct', 'date', 'and', 'time', 'I', 'set']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['I', 'sent', 'it', 'back', 'to', 'Toshiba', 'twice', 'they', 'covered', 'it', 'under', 'the', 'warranty']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1]"
"['And', 'this', 'isnt', 'just', 'my', 'one', 'experine']","[5, 5, 5, 5, 5, 5, 5]"
"['They', 'sent', 'me', 'a', 'replacement', 'part', 'and', 'without', 'informing', 'me', 'are', 'requiring', 'that', 'I', 'return', 'it', 'within', '15', 'days', 'or', 'contact', 'them', 'and', 'let', 'them', 'know', 'the', 'broken', 'part', 'will', 'be', 'returned', 'later']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['I', 'was', 'looking', 'for', 'a', 'mac', 'which', 'is', 'portable', 'and', 'has', 'all', 'the', 'features', 'that', 'I', 'was', 'looking', 'for']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5]"
"['I', 'would', 'highly', 'recommend', 'this', 'one', 'to', 'my', 'friends']","[5, 5, 5, 3, 5, 5, 5, 5, 5]"
"['I', 'honestly', 'love', 'my', 'mac', 'thats', 'why', 'I', 'am', 'a', 'self', 'proclaimed', 'mac', 'addict']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['And', 'these', 'are', 'some', 'reasons', 'you', 'should', 'get', 'a', 'macbook', 'pro']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['Also', 'kinda', 'loud', 'when', 'the', 'fan', 'was', 'running']","[5, 5, 3, 5, 5, 1, 5, 5]"
"['In', 'desparation', 'I', 'called', 'their', 'Customer', 'Service', 'number', 'and', 'was', 'told', 'that', 'my', 'warranty', 'had', 'expired', '2', 'days', 'old', 'and', 'that', 'the', 'priviledge', 'of', 'talking', 'to', 'a', 'technician', 'would', 'cost', 'me', 'have', 'your', 'credit', 'card', 'ready']","[5, 5, 5, 5, 5, 1, 2, 2, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5]"
"['I', 'purchased', 'this', 'laptop', 'while', 'on', 'a', 'business', 'trip', 'to', 'keep', 'up', 'with', 'my', 'email']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['There', 'also', 'seemed', 'to', 'be', 'a', 'problem', 'with', 'the', 'hard', 'disc', 'as', 'certain', 'times', 'windows', 'loads', 'but', 'claims', 'to', 'not', 'be', 'able', 'to', 'find', 'any', 'drivers', 'or', 'files']","[5, 5, 5, 5, 5, 5, 3, 5, 5, 1, 2, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 1, 5, 5]"
"['Drivers', 'updated', 'ok', 'but', 'the', 'BIOS', 'update', 'froze', 'the', 'system', 'up', 'and', 'the', 'computer', 'shut', 'down']","[1, 5, 3, 5, 5, 1, 2, 3, 5, 1, 5, 5, 5, 5, 5, 5]"
"['they', 'lost', 'my', 'laptop', 'for', 'a', 'month']","[5, 5, 5, 5, 5, 5, 5]"
"['Spent', '2', 'hours', 'on', 'phone', 'with', 'HP', 'Technical', 'Support']","[5, 5, 5, 5, 5, 5, 1, 2, 2]"
"['This', 'is', 'my', 'second', 'laptopand', 'it', 'is', 'head', 'and', 'shoulders', 'above', 'my', 'first']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['at', 'first']","[5, 5]"
"['Speaking', 'of', 'the', 'browser', 'it', 'too', 'has', 'problems']","[5, 5, 5, 1, 5, 5, 5, 3]"
"['I', 'think', 'just', 'going', 'from', 'PC', 'to', 'Mac', 'has', 'gotten', 'me', 'totally', 'spoiled', 'and', 'I', 'cant', 'imagine', 'ever', 'going', 'back']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5]"
"['The', 'keyboard', 'is', 'too', 'slick']","[5, 1, 5, 5, 3]"
"['Nightly', 'my', 'computer', 'defrags', 'itself', 'and', 'runs', 'a', 'virus', 'scan']","[5, 5, 5, 5, 5, 5, 5, 5, 1, 2]"
"['Its', 'like', '9', 'punds', 'but', 'if', 'you', 'can', 'look', 'past', 'it', 'its', 'GREAT']","[5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['Its', 'just', 'as', 'fast', 'with', 'one', 'program', 'open', 'as', 'it', 'is', 'with', 'sixteen', 'open']","[5, 5, 5, 3, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5]"
"['Still', 'under', 'warrenty', 'so', 'called', 'Toshiba', 'no', 'help', 'at', 'all']","[5, 5, 1, 5, 5, 5, 3, 5, 5, 5]"
"['I', 'was', 'happy', 'with', 'My', 'purchase', 'of', 'a', 'Toshiba', 'Satellite', 'L305DS5934', 'laptop', 'until', 'it', 'came', 'time', 'to', 'have', 'it', 'repaired', 'under', 'the', 'Toshiba', 'Warranty']","[5, 5, 3, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['I', 'LOVE', 'IT']","[5, 5, 5]"
"['Amazing', 'Quality']","[5, 1]"
"['The', 'fact', 'that', 'you', 'can', 'spend', 'over', '100', 'on', 'just', 'a', 'webcam', 'underscores', 'the', 'value', 'of', 'this', 'machine']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 3, 5, 1, 5, 5, 5]"
"['I', 'mainly', 'use', 'it', 'for', 'email', 'internet', 'and', 'managing', 'personal', 'files', 'pics', 'vids', 'etc']","[5, 5, 5, 5, 5, 5, 1, 5, 1, 2, 2, 5, 5, 5]"
"['A', 'month', 'or', 'so', 'ago', 'the', 'freaking', 'motherboard', 'just', 'died']","[5, 5, 5, 5, 5, 5, 3, 1, 5, 3]"
"['The', 'system', 'it', 'comes', 'with', 'does', 'not', 'work', 'properly', 'so', 'when', 'trying', 'to', 'fix', 'the', 'problems', 'with', 'it', 'it', 'started', 'not', 'working', 'at', 'all']","[5, 1, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['Then', 'after', '4', 'or', 'so', 'months', 'the', 'charger', 'stopped', 'working', 'so', 'I', 'was', 'forced', 'to', 'go', 'out', 'and', 'buy', 'new', 'hardware', 'just', 'to', 'keep', 'this', 'computer', 'running']","[5, 5, 5, 5, 5, 5, 5, 1, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5]"
"['I', 'took', 'it', 'back', 'to', 'Best', 'Buy', 'where', 'they', 'were', 'so', 'helpful', 'and', 'immediately', 'gave', 'me', 'a', 'new', 'one']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5]"
"['If', 'you', 'had', 'PC', 'for', 'four', 'years', 'I', 'can', 'almost', 'gaurentee', 'that', 'something', 'would', 'of', 'gone', 'wrong', 'by', 'now', 'maybe', 'even', 'forcing', 'you', 'to', 'replace', 'your', 'entire', 'computer']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5]"
"['2', 'weeks', 'after', 'giving', 'the', 'computer', 'for', 'repairCalled', 'headquarters', 'they', 'report', 'that', 'they', 'have', 'not', 'looked', 'at', 'it', 'yet', 'but', 'it', 'is', 'on', 'the', 'top', 'of', 'the', 'stack']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['This', 'machine', 'delivers']","[5, 5, 5]"
"['Then', '2', 'of', 'my', 'nephews', 'were', 'going', 'into', 'music', 'and', 'both', 'fell', 'in', 'love', 'with', 'the', 'MacBook', 'Pro']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['I', 'complain', 'again']","[5, 5, 5]"
"['This', 'laptop', 'is', 'insane']","[5, 5, 5, 3]"
"['If', 'a', 'website', 'ever', 'freezes', 'which', 'is', 'rare', 'its', 'really', 'easy', 'to', 'force', 'quit']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 1, 2]"
"['It', 'does', 'run', 'a', 'little', 'warm', 'but', 'that', 'is', 'a', 'negligible', 'concern']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['It', 'rarely', 'works', 'and', 'when', 'it', 'does', 'its', 'incredibly', 'slow']","[5, 5, 1, 5, 5, 5, 5, 5, 5, 3]"
"['I', 'also', 'enjoy', 'the', 'fact', 'that', 'my', 'MacBook', 'Pro', 'laptop', 'allows', 'me', 'to', 'run', 'Windows', '7', 'on', 'it', 'by', 'using', 'the', 'VMWare', 'program']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 1, 2]"
"['Its', 'so', 'much', 'easier', 'to', 'navigate', 'through', 'the', 'operating', 'system', 'to', 'find', 'files', 'and', 'it', 'runs', 'a', 'lot', 'faster']","[5, 5, 5, 3, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 1, 5, 5, 3]"
"['Purchased', 'a', 'Toshiba', 'Lap', 'top', 'it', 'worked', 'good', 'until', 'just', 'after', 'the', 'warrenty', 'went', 'out']","[5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 1, 5, 5]"
"['I', 'always', 'swore', 'by', 'PCs', 'and', 'would', 'never', 'consider', 'a', 'MAC']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['what', 'an', 'elegant', 'wonderful', 'machine']","[5, 5, 3, 3, 5]"
"['This', 'is', 'now', 'my', '3rd', 'MacBook', 'Pro', 'and', 'I', 'really', 'honestly', 'love', 'it']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
"['for', '2', 'months']","[5, 5, 5]"
"['I', 'wanted', 'to', 'purchase', 'the', 'extended', 'warranty', 'and', 'they', 'refused', 'because', 'they', 'knew', 'it', 'was', 'trouble']","[5, 5, 5, 5, 5, 1, 2, 5, 5, 3, 5, 5, 5, 5, 5, 5]"
"['Do', 'you', 'ever', 'think', 'HP', 'would', 'do', 'that', 'NEVER']","[5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['We', 'upgraded', 'the', 'memory', 'to', 'four', 'gigabytes', 'in', 'order', 'to', 'take', 'advantage', 'of', 'the', 'performace', 'increase', 'in', 'speed']","[5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 1]"
"['Its', 'not', 'like', 'I', 'have', 'used', 'for', 'half', 'a', 'year', 'and', 'then', 'complained', 'about', 'it']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['Still', 'trying', 'to', 'learn', 'how', 'to', 'use', 'it']","[5, 5, 5, 5, 5, 5, 5, 5]"
"['The', 'reality', 'was', 'it', 'heated', 'up', 'very', 'quickly', 'and', 'took', 'way', 'too', 'long', 'to', 'do', 'simple', 'things', 'like', 'opening', 'my', 'Documents', 'folder']","[5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 1, 2, 2, 2]"
"['I', 'bought', 'the', 'netbook', 'because', 'it', 'was', 'smaller', 'and', 'lighter', 'for', 'me', 'to', 'carry', 'around']","[5, 5, 5, 5, 5, 5, 5, 3, 5, 3, 5, 5, 5, 5, 5]"
"['The', 'Genius', 'at', 'the', 'Apple', 'store', 'advised', 'me', 'that', 'there', 'was', 'nothing', 'about', 'my', 'use', 'of', 'the', 'computer', 'that', 'caused', 'this', 'failure']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['Well', 'save', 'our', 'money', 'to', 'replace', 'it', 'with', 'a', 'Mac', 'again']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['Thank', 'you', 'for', 'your', 'great', 'product']","[5, 5, 5, 5, 3, 5]"
"['this', 'company', 'truely', 'does', 'make', 'horrible', 'products', 'and', 'doesnt', 'seem', 'to', 'because', 'they', 'are', 'certain', 'things', 'like', 'this', 'never', 'happen']","[5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
