Sentence,Sequence
"[u'In', u'the', u'shop', u',', u'these', u'MacBooks', u'are', u'encased', u'in', u'a', u'soft', u'rubber', u'enclosure', u'-', u'so', u'you', u'will', u'never', u'know', u'about', u'the', u'razor', u'edge', u'until', u'you', u'buy', u'it', u',', u'get', u'it', u'home', u',', u'break', u'the', u'seal', u'and', u'use', u'it', u'(', u'very', u'clever', u'con', u')', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'However', u',', u'the', u'multi', u'-', u'touch', u'gestures', u'and', u'large', u'tracking', u'area', u'make', u'having', u'an', u'external', u'mouse', u'unnecessary', u'(', u'unless', u'you', u""'re"", u'gaming', u')', u'.']","[5, 5, 5, 1, 2, 2, 2, 5, 5, 1, 2, 5, 5, 5, 1, 2, 3, 5, 5, 5, 5, 1, 5, 5]"
"[u'Plus', u'it', u'is', u'small', u'and', u'reasonably', u'light', u'so', u'I', u'can', u'take', u'it', u'with', u'me', u'to', u'and', u'from', u'work', u'.']","[5, 5, 5, 3, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'I', u'HATE', u'this', u'one', u'.']","[5, 5, 5, 5, 5]"
"[u'They', u'were', u'totally', u'unconcerned', u'that', u'the', u'computer', u'was', u'not', u'correctly', u'repaired', u'in', u'the', u'first', u'place', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'Toshiba', u'does', u'not', u'send', u'any', u'one', u'out', u'unless', u'you', u'have', u'paid', u'extra', u'to', u'have', u'the', u'on', u'site', u'repair', u'done', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'Oh', u',', u'boy', u'!']","[5, 5, 5, 5]"
"[u'But', u'while', u'this', u'is', u'one', u'big', u'advantage', u'(', u'as', u'you', u'may', u'know', u'from', u'the', u'company', u's', u'recent', u'commercials', u')', u'there', u'are', u'other', u'things', u'to', u'consider', u'before', u'going', u'with', u'Apple', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'I', u'love', u'the', u'way', u'the', u'entire', u'suite', u'of', u'software', u'works', u'together', u'.']","[5, 3, 5, 5, 5, 5, 1, 2, 2, 5, 5, 5]"
"[u'The', u'speed', u'is', u'incredible', u'and', u'I', u'am', u'more', u'than', u'satisfied', u'.']","[5, 1, 5, 3, 5, 5, 5, 5, 5, 3, 5]"
"[u'on', u'the', u'bright', u'side', u'at', u'least', u'I', u'was', u""n't"", u'without', u'my', u'laptop', u'for', u'long', u'this', u'time', u'!']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'This', u'laptop', u'meets', u'every', u'expectation', u'and', u'Windows', u'7', u'is', u'great', u'!']","[5, 5, 5, 5, 5, 5, 1, 2, 5, 3, 5]"
"[u'That', u""'s"", u'how', u'frustrating', u'it', u'was', u'.']","[5, 5, 5, 3, 5, 5, 5]"
"[u'I', u'can', u'barely', u'use', u'any', u'usb', u'devices', u'because', u'they', u'will', u'not', u'stay', u'connected', u'properly', u'.']","[5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 3, 5]"
"[u'The', u'one', u'down', u'side', u'to', u'it', u'is', u'that', u'when', u'I', u'play', u'a', u'certin', u'game', u'on', u'here', u',', u'it', u'tends', u'to', u'freeze', u'up', u'sometimes', u',', u'but', u'that', u's', u'the', u'only', u'bad', u'thing', u'about', u'this', u'computer', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5]"
"[u'-No', u'backlit', u'keyboard', u',', u'but', u'not', u'an', u'issue', u'for', u'me', u'.']","[5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'When', u'I', u'finally', u'had', u'everything', u'running', u'with', u'all', u'my', u'software', u'installed', u'I', u'plugged', u'in', u'my', u'droid', u'to', u'recharge', u'and', u'the', u'system', u'crashed', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 3, 5]"
"[u'I', u'ca', u""n't"", u'even', u'turn', u'it', u'off', u'.']","[5, 5, 5, 5, 5, 5, 5, 5]"
"[u'One', u'suggestion', u'I', u'do', u'have', u',', u'is', u'to', u'not', u'bother', u'getting', u'Microsoft', u'office', u'for', u'the', u'mac', u'expecting', u'it', u'will', u'work', u'just', u'like', u'you', u'knew', u'it', u'to', u'on', u'a', u'PC', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 2, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'Pairing', u'it', u'with', u'an', u'iPhone', u'is', u'a', u'pure', u'pleasure', u'-', u'talk', u'about', u'painless', u'syncing', u'-', u'used', u'to', u'take', u'me', u'forever', u'-', u'now', u'it', u""'s"", u'a', u'snap', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'I', u'shopped', u'around', u'before', u'buying', u'.']","[5, 5, 5, 5, 5, 5]"
"[u'I', u'also', u'got', u'the', u'added', u'bonus', u'of', u'a', u'30', u'""', u'HD', u'Monitor', u',', u'which', u'really', u'helps', u'to', u'extend', u'my', u'screen', u'and', u'keep', u'my', u'eyes', u'fresh', u'!']","[5, 5, 5, 5, 3, 4, 5, 5, 1, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5]"
"[u'Would', u'do', u'business', u'again', u'.']","[5, 5, 5, 5, 5]"
"[u'The', u'machine', u'is', u'slow', u'to', u'boot', u'up', u'and', u'occasionally', u'crashes', u'completely', u'.']","[5, 5, 5, 3, 5, 1, 2, 5, 5, 3, 5, 5]"
"[u'After', u'paying', u'several', u'hundred', u'dollars', u'for', u'this', u'service', u',', u'it', u'is', u'frustrating', u'that', u'you', u'can', u'not', u'get', u'help', u'after', u'hours', u'.']","[5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'I', u'have', u'had', u'the', u'luxury', u'(', u'sarcasm', u')', u'of', u'owning', u'2', u'of', u'these', u'laptops', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'What', u'a', u'waste', u'.']","[5, 5, 3, 5]"
"[u'It', u'was', u'a', u'total', u'Dhell', u'experience', u'that', u'I', u'will', u'never', u'repeat', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'There', u'are', u'a', u'few', u'flaws', u'as', u'well', u'that', u'I', u'noticed', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'Completely', u'worth', u'every', u'single', u'penny', u'dime', u'and', u'nickel', u'.']","[5, 3, 5, 5, 5, 5, 5, 5, 5]"
"[u'I', u'tried', u'to', u'upgrade', u'it', u'to', u'a', u'newer', u'version', u'a', u'couple', u'of', u'months', u'ago', u'and', u'I', u'still', u'have', u'the', u'same', u'problem', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'I', u'did', u'have', u'to', u'replace', u'the', u'battery', u'once', u',', u'but', u'that', u'was', u'only', u'a', u'couple', u'months', u'ago', u'and', u'it', u""'s"", u'been', u'working', u'perfect', u'ever', u'since', u'.']","[5, 5, 5, 5, 3, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5]"
"[u':)', u'In', u'the', u'past', u'four', u'years', u'I', u""'ve"", u'had', u'it', u'I', u'have', u'never', u'once', u'gotten', u'a', u'virus', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'I', u'love', u'the', u'operating', u'system', u'and', u'the', u'preloaded', u'software', u'.']","[5, 3, 5, 1, 2, 5, 5, 1, 2, 5]"
"[u'They', u'were', u'great', u'in', u'handling', u'this', u'problem', u',', u'and', u'I', u""'m"", u'looking', u'forward', u'in', u'purchasing', u'additonal', u'products', u'from', u'them', u'in', u'the', u'future', u'.']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'I', u""'ve"", u'tried', u'going', u'back', u'to', u'XL', u'but', u'there', u'still', u'problems', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'The', u'best', u'thing', u'about', u'this', u'laptop', u'is', u'the', u'price', u'along', u'with', u'some', u'of', u'the', u'newer', u'features', u'.']","[5, 3, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 3, 1, 5]"
"[u'After', u'numerous', u'attempts', u'of', u'trying', u'(', u'including', u'setting', u'the', u'clock', u'in', u'BIOS', u'setup', u'directly', u')', u',', u'I', u'gave', u'up(I', u'am', u'a', u'techie', u')', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'YOU', u'WILL', u'NOT', u'BE', u'ABLE', u'TO', u'TALK', u'TO', u'AN', u'AMERICAN', u'WARRANTY', u'SERVICE', u'IS', u'OUT', u'OF', u'COUNTRY', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5]"
"[u'But', u'it', u'may', u'be', u'potentially', u'hundreds', u'or', u'thousands', u'in', u'the', u'near', u'future', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'Has', u'met', u'or', u'exceeded', u'my', u'needs', u'for', u'a', u'compact', u'travel', u'device', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'but', u'now', u'i', u'have', u'realized', u'its', u'a', u'problem', u'with', u'this', u'brand', u'.']","[5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 1, 5]"
"[u'It', u'can', u'not', u'save', u'the', u'correct', u'date', u'and', u'time', u'I', u'set', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'I', u'sent', u'it', u'back', u'to', u'Toshiba', u'twice', u'they', u'covered', u'it', u'under', u'the', u' ', u'warranty', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5]"
"[u'And', u'this', u'is', u""n't"", u'just', u'my', u'one', u'experine', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'They', u'sent', u'me', u'a', u'replacement', u'part', u'and', u'without', u'informing', u'me', u'are', u'requiring', u'that', u'I', u'return', u'it', u'within', u'15', u'days', u'or', u'contact', u'them', u'and', u'let', u'them', u'know', u'the', u'broken', u'part', u'will', u'be', u'returned', u'later', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'I', u'was', u'looking', u'for', u'a', u'mac', u'which', u'is', u'portable', u'and', u'has', u'all', u'the', u'features', u'that', u'I', u'was', u'looking', u'for', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5]"
"[u'I', u'would', u'highly', u'recommend', u'this', u'one', u'to', u'my', u'friends']","[5, 5, 5, 3, 5, 5, 5, 5, 5]"
"[u'I', u'honestly', u'love', u'my', u'mac', u',', u'that', u's', u'why', u'I', u'am', u'a', u'self', u'proclaimed', u'mac', u'addict', u'.']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'And', u'these', u'are', u'some', u'reasons', u'you', u'should', u'get', u'a', u'macbook', u'pro', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'Also', u'kinda', u'loud', u'when', u'the', u'fan', u'was', u'running', u'.']","[5, 5, 3, 5, 5, 1, 5, 5, 5]"
"[u'In', u'desparation', u',', u'I', u'called', u'their', u'Customer', u'Service', u'number', u'and', u'was', u'told', u'that', u'my', u'warranty', u'had', u'expired', u'(', u'2', u'days', u'old', u')', u'and', u'that', u'the', u'priviledge', u'of', u'talking', u'to', u'a', u'technician', u'would', u'cost', u'me', u'(', u'""', u'have', u'your', u'credit', u'card', u'ready', u'""', u')', u'.']","[5, 5, 5, 5, 5, 5, 1, 2, 2, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'I', u'purchased', u'this', u'laptop', u'while', u'on', u'a', u'business', u'trip', u'to', u'keep', u'up', u'with', u'my', u'email', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'There', u'also', u'seemed', u'to', u'be', u'a', u'problem', u'with', u'the', u'hard', u'disc', u'as', u'certain', u'times', u'windows', u'loads', u'but', u'claims', u'to', u'not', u'be', u'able', u'to', u'find', u'any', u'drivers', u'or', u'files', u'.']","[5, 5, 5, 5, 5, 5, 3, 5, 5, 1, 2, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 1, 5, 5, 5]"
"[u'Drivers', u'updated', u'ok', u'but', u'the', u'BIOS', u'update', u'froze', u'the', u'system', u'up', u'and', u'the', u'computer', u'shut', u'down', u'.']","[1, 5, 3, 5, 5, 1, 2, 3, 5, 1, 5, 5, 5, 5, 5, 5, 5]"
"[u'-they', u'lost', u'my', u'laptop', u'for', u'a', u'month']","[5, 5, 5, 5, 5, 5, 5]"
"[u'Spent', u'2', u'hours', u'on', u'phone', u'with', u'HP', u'Technical', u'Support', u'.']","[5, 5, 5, 5, 5, 5, 1, 2, 2, 5]"
"[u'This', u'is', u'my', u'second', u'laptop', u',', u'and', u'it', u'is', u'head', u'and', u'shoulders', u'above', u'my', u'first', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'at', u'first', u'!']","[5, 5, 5]"
"[u'Speaking', u'of', u'the', u'browser', u',', u'it', u'too', u'has', u'problems', u'.']","[5, 5, 5, 1, 5, 5, 5, 5, 3, 5]"
"[u'I', u'think', u'just', u'going', u'from', u'PC', u'to', u'Mac', u'has', u'gotten', u'me', u'totally', u'spoiled', u'and', u'I', u'ca', u""n't"", u'imagine', u'ever', u'going', u'back', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'The', u'keyboard', u'is', u'too', u'slick', u'.']","[5, 1, 5, 5, 3, 5]"
"[u'Nightly', u'my', u'computer', u'defrags', u'itself', u'and', u'runs', u'a', u'virus', u'scan', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 1, 2, 5]"
"[u'It', u""'s"", u'like', u'9', u'punds', u',', u'but', u'if', u'you', u'can', u'look', u'past', u'it', u',', u'it', u""'s"", u'GREAT', u'!']","[5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'It', u""'s"", u'just', u'as', u'fast', u'with', u'one', u'program', u'open', u'as', u'it', u'is', u'with', u'sixteen', u'open', u'.']","[5, 5, 5, 5, 3, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'Still', u'under', u'warrenty', u'so', u'called', u'Toshiba', u',', u'no', u'help', u'at', u'all', u'.']","[5, 5, 1, 5, 5, 5, 5, 3, 5, 5, 5, 5]"
"[u'I', u'was', u'happy', u'with', u'My', u'purchase', u'of', u'a', u'Toshiba', u'Satellite', u'L305D', u'-', u'S5934', u'laptop', u'until', u'it', u'came', u'time', u'to', u'have', u'it', u'repaired', u'under', u'the', u'Toshiba', u'Warranty', u'.']","[5, 5, 3, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'I', u'LOVE', u'IT', u'!']","[5, 5, 5, 5]"
"[u'Amazing', u'Quality', u'!']","[5, 1, 5]"
"[u'The', u'fact', u'that', u'you', u'can', u'spend', u'over', u'$', u'100', u'on', u'just', u'a', u'webcam', u'underscores', u'the', u'value', u'of', u'this', u'machine', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 3, 5, 1, 5, 5, 5, 5]"
"[u'I', u'mainly', u'use', u'it', u'for', u'email', u',', u'internet', u',', u'and', u'managing', u'personal', u'files', u'(', u'pics', u',', u'vids', u',', u'etc', u'.', u')', u'.']","[5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 1, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'A', u'month', u'or', u'so', u'ago', u',', u'the', u'freaking', u'motherboard', u'just', u'died', u'.']","[5, 5, 5, 5, 5, 5, 5, 3, 1, 5, 3, 5]"
"[u'The', u'system', u'it', u'comes', u'with', u'does', u'not', u'work', u'properly', u',', u'so', u'when', u'trying', u'to', u'fix', u'the', u'problems', u'with', u'it', u'it', u'started', u'not', u'working', u'at', u'all', u'.']","[5, 1, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'Then', u'after', u'4', u'or', u'so', u'months', u'the', u'charger', u'stopped', u'working', u'so', u'I', u'was', u'forced', u'to', u'go', u'out', u'and', u'buy', u'new', u'hardware', u'just', u'to', u'keep', u'this', u'computer', u'running', u'.']","[5, 5, 5, 5, 5, 5, 5, 1, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5]"
"[u'I', u'took', u'it', u'back', u'to', u'Best', u'Buy', u'where', u'they', u'were', u'so', u'helpful', u'and', u'immediately', u'gave', u'me', u'a', u'new', u'one', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'If', u'you', u'had', u'PC', u'for', u'four', u'years', u'I', u'can', u'almost', u'gaurentee', u'that', u'something', u'would', u'of', u'gone', u'wrong', u'by', u'now', u',', u'maybe', u'even', u'forcing', u'you', u'to', u'replace', u'your', u'entire', u'computer', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5]"
"[u'*', u'2', u'weeks', u'after', u'giving', u'the', u'computer', u'for', u'repair*-Called', u'headquarters', u',', u'they', u'report', u'that', u'they', u'have', u'not', u'looked', u'at', u'it', u'yet', u'but', u'it', u'is', u'""', u'on', u'the', u'top', u'of', u'the', u'stack', u'""', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'This', u'machine', u'delivers', u'.']","[5, 5, 5, 5]"
"[u'Then', u'2', u'of', u'my', u'nephews', u'were', u'going', u'into', u'music', u'and', u'both', u'fell', u'in', u'love', u'with', u'the', u'MacBook', u'Pro', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'I', u'complain', u'again', u'...']","[5, 5, 5, 5]"
"[u'This', u'laptop', u'is', u'insane', u'!', u'!', u'!']","[5, 5, 5, 3, 5, 5, 5]"
"[u'If', u'a', u'website', u'ever', u'freezes', u'(', u'which', u'is', u'rare', u')', u',', u'its', u'really', u'easy', u'to', u'force', u'quit', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 1, 2, 5]"
"[u'It', u'does', u'run', u'a', u'little', u'warm', u'but', u'that', u'is', u'a', u'negligible', u'concern', u'.']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"[u'It', u'rarely', u'works', u'and', u'when', u'it', u'does', u'it', u""'s"", u'incredibly', u'slow', u'.']","[5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
"[u'I', u'also', u'enjoy', u'the', u'fact', u'that', u'my', u'MacBook', u'Pro', u'laptop', u'allows', u'me', u'to', u'run', u'Windows', u'7', u'on', u'it', u'by', u'using', u'the', u'VMWare', u'program', u'.']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 1, 2, 5]"
"[u'It', u""'s"", u'so', u'much', u'easier', u'to', u'navigate', u'through', u'the', u'operating', u'system', u',', u'to', u'find', u'files', u',', u'and', u'it', u'runs', u'a', u'lot', u'faster', u'!']","[5, 5, 5, 5, 3, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 3, 5]"
