Sentence,Sequence
"['from', 'the', 'incredible', 'food', ' <COMMA> ', 'to', 'the', 'warm', 'atmosphere', ' <COMMA> ', 'to', 'the', 'friendly', 'service', ' <COMMA> ', 'this', 'downtown', 'neighborhood', 'spot', 'does', ""n't"", 'miss', 'a', 'beat', ' <PERIOD> ']","[5, 5, 3, 1, 5, 5, 5, 3, 1, 5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['great', 'food', 'at', 'reasonable', 'prices', ' <COMMA> ', 'makes', 'for', 'an', 'evening', 'that', 'ca', ""n't"", 'be', 'beat', ' <EXCLAMATION_MARK> ']","[3, 1, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['look', 'foward', 'to', 'trying', 'the', 'ruben', 'upon', 'returning', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'only', 'other', 'steakhouse', 'that', 'seems', 'to', 'hold', 'a', 'candle', 'to', 'roth', ""'s"", 'is', 'the', 'strip', 'house', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['we', 'usually', 'go', 'to', 'the', 'chart', 'house', 'to', 'celebrate', 'a', 'birthday', 'or', 'anniversary', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['this', 'little', 'place', 'has', 'a', 'cute', 'interior', 'decor', 'and', 'affordable', 'city', 'prices', ' <PERIOD> ']","[5, 5, 5, 5, 5, 3, 1, 2, 5, 3, 5, 1, 5]"
"['you', ""'ll"", 'adore', 'it', ' <PERIOD> ']","[5, 5, 3, 5, 5]"
"['two', 'words', ' <COLON> ', 'free', 'wine', ' <PERIOD> ']","[5, 5, 5, 3, 1, 5]"
"['the', 'price', 'is', 'reasonable', 'although', 'the', 'service', 'is', 'poor', ' <PERIOD> ']","[5, 1, 5, 3, 5, 5, 1, 5, 3, 5]"
"['the', 'quantity', 'is', 'also', 'very', 'good', ' <COMMA> ', 'you', 'will', 'come', 'out', 'satisfied', ' <PERIOD> ']","[5, 1, 5, 5, 5, 3, 5, 5, 5, 5, 5, 3, 5]"
"['i', 'have', 'been', 'to', 'roth', ""'s"", 'twice', 'and', 'both', 'times', 'were', 'very', 'disappointing', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
"['worth', 'visiting', 'the', '1st', 'ave', 'spot', 'because', 'it', 'is', 'the', 'original', 'store', ' <PERIOD> ']","[3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'stumbled', 'upon', 'this', 'second', 'floor', 'walk', ' <HYPHEN> ', 'up', 'two', 'fridays', 'ago', 'when', 'i', 'was', 'with', 'two', 'friends', 'in', 'town', 'from', 'l.a', ' <PERIOD> ', 'being', 'serious', 'sushi', 'lovers', ' <COMMA> ', 'we', 'sat', 'at', 'the', 'sushi', 'bar', 'to', 'be', 'closer', 'to', 'the', 'action', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5]"
"['raga', ""'s"", 'is', 'a', 'romantic', ' <COMMA> ', 'cozy', 'restaurant', ' <PERIOD> ']","[5, 5, 5, 5, 3, 5, 3, 5, 5]"
"['the', 'fried', 'rice', 'is', 'amazing', 'here', ' <PERIOD> ']","[5, 1, 2, 5, 3, 5, 5]"
"['three', 'courses', ' <HYPHEN> ', 'choices', 'include', 'excellent', 'mussels', ' <COMMA> ', 'puff', 'pastry', 'goat', 'cheese', 'and', 'salad', 'with', 'a', 'delicious', 'dressing', ' <COMMA> ', 'and', 'a', 'hanger', 'steak', 'au', 'poivre', 'that', 'is', 'out', 'of', 'this', 'world', ' <PERIOD> ']","[5, 5, 5, 5, 5, 3, 1, 5, 1, 2, 2, 2, 5, 1, 2, 2, 2, 2, 5, 5, 5, 1, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5]"
"['it', ""'s"", 'a', 'perfect', 'place', 'to', 'have', 'a', 'amanzing', 'indian', 'food', ' <PERIOD> ']","[5, 5, 5, 3, 5, 5, 5, 5, 5, 1, 2, 5]"
"['the', 'place', 'is', 'so', 'cool', 'and', 'the', 'service', 'is', 'prompt', 'and', 'curtious', ' <PERIOD> ']","[5, 5, 5, 5, 3, 5, 5, 1, 5, 3, 5, 3, 5]"
"['at', 'the', 'end', 'you', ""'re"", 'left', 'with', 'a', 'mild', 'broth', 'with', 'noodles', 'that', 'you', 'can', 'slurp', 'out', 'of', 'a', 'cup', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 3, 1, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'just', 'wonder', 'how', 'you', 'can', 'have', 'such', 'a', 'delicious', 'meal', 'for', 'such', 'little', 'money', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 1, 5, 5, 3, 1, 5]"
"['the', 'food', 'was', 'delicious', 'but', 'do', 'not', 'come', 'here', 'on', 'a', 'empty', 'stomach', ' <PERIOD> ']","[5, 1, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'wine', 'list', 'is', 'excellent', ' <PERIOD> ']","[5, 1, 2, 5, 3, 5]"
"['so', 'garantuan', 'that', 'you', 'ca', ""n't"", 'fit', 'them', 'in', 'a', 'toaster', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 've', 'been', 'to', 'many', 'thai', 'restaurants', 'in', 'manhattan', 'before', ' <COMMA> ', 'and', 'toons', 'is', 'by', 'far', 'the', 'best', 'thai', 'food', 'i', 've', 'had', ' <LEFT PARENTHESIS> ', 'except', 'for', 'my', 'mom', ""'s"", 'of', 'course', ' <RIGHT PARENTHESIS> ', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['they', 'would', 'nt', 'even', 'let', 'me', 'finish', 'my', 'glass', 'of', 'wine', 'before', 'offering', 'another', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 1, 2, 2, 5, 5, 5, 5]"
"['i', 'highly', 'recommend', 'the', 'sophia', 'pizza', ' <PERIOD> ']","[5, 5, 3, 5, 5, 5, 5]"
"['whem', 'asked', ' <COMMA> ', 'we', 'had', 'to', 'ask', 'more', 'detailed', 'questions', 'so', 'that', 'we', 'knew', 'what', 'the', 'specials', 'were', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5]"
"['this', 'is', 'a', 'consistently', 'great', 'place', 'to', 'dine', 'for', 'lunch', 'or', 'dinner', ' <PERIOD> ']","[5, 5, 5, 5, 3, 5, 5, 5, 5, 1, 5, 1, 5]"
"['nice', 'atmosphere', ' <COMMA> ', 'the', 'service', 'was', 'very', 'pleasant', 'and', 'the', 'desert', 'was', 'good', ' <PERIOD> ']","[3, 1, 5, 5, 1, 5, 5, 3, 5, 5, 1, 5, 3, 5]"
"['all', 'the', 'people', 'that', 'i', 'bring', 'there', 'go', 'back', 'on', 'their', 'own', 'and', 'bring', 'their', 'friends', ' <EXCLAMATION_MARK> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['after', 'really', 'enjoying', 'ourselves', 'at', 'the', 'bar', 'we', 'sat', 'down', 'at', 'a', 'table', 'and', 'had', 'dinner', ' <PERIOD> ']","[5, 5, 3, 5, 5, 5, 1, 5, 5, 5, 5, 5, 1, 5, 5, 1, 5]"
"['fabulous', 'service', ' <COMMA> ', 'fantastic', 'food', ' <COMMA> ', 'and', 'a', 'chilled', 'out', 'atmosphere', 'and', 'environment', ' <PERIOD> ']","[3, 1, 5, 3, 1, 5, 5, 5, 3, 4, 1, 5, 1, 5]"
"['not', 'what', 'i', 'wanted', 'to', 'hear', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5]"
"['try', 'the', 'lasagnette', 'appetizer', ' <PERIOD> ']","[5, 5, 1, 2, 5]"
"['pricey', ' <COMMA> ', 'but', 'worth', 'a', 'try', ' <COMMA> ', 'at', 'least', 'once', ' <PERIOD> ']","[3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', ""'ve"", 'been', 'there', 'a', 'few', 'times', ' <COMMA> ', 'and', 'i', 'usually', 'end', 'up', 'sitting', 'next', 'to', 'some', 'pretty', 'odd', 'people', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'liked', 'the', 'beer', 'selection', ' <EXCLAMATION_MARK> ']","[5, 5, 5, 1, 2, 5]"
"['great', 'food', ' <COMMA> ', 'good', 'size', 'menu', ' <COMMA> ', 'great', 'service', 'and', 'an', 'unpretensious', 'setting', ' <PERIOD> ']","[3, 1, 5, 3, 5, 1, 5, 3, 1, 5, 5, 5, 1, 5]"
"['go', 'here', 'for', 'a', 'romantic', 'dinner', 'but', 'not', 'for', 'an', 'all', 'out', 'wow', 'dining', 'experience', ' <PERIOD> ']","[5, 5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 3, 1, 5, 5]"
"['ca', ""n't"", 'wait', 'to', 'go', 'back', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5]"
"['i', 'grew', 'up', 'eating', 'dosa', 'and', 'have', 'yet', 'to', 'find', 'a', 'place', 'in', 'ny', 'to', 'satisfy', 'my', 'taste', 'buds', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['wine', 'list', 'selection', 'is', 'good', 'and', 'wine', ' <HYPHEN> ', 'by', ' <HYPHEN> ', 'the', ' <HYPHEN> ', 'glass', 'was', 'generously', 'filled', 'to', 'the', 'top', ' <PERIOD> ']","[5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
"['with', 'the', 'great', 'variety', 'on', 'the', 'menu', ' <COMMA> ', 'i', 'eat', 'here', 'often', 'and', 'never', 'get', 'bored', ' <PERIOD> ']","[5, 5, 3, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'menu', 'is', 'very', 'limited', ' <HYPHEN> ', 'i', 'think', 'we', 'counted', '4', 'or', '5', 'entrees', ' <PERIOD> ']","[5, 1, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5]"
"['if', 'you', 'are', 'a', 'carnivore', ' <COMMA> ', 'come', 'hungry', 'and', 'you', 'will', 'leave', 'more', 'satisfied', 'than', 'you', 'have', 'ever', 'been', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'menu', 'is', 'limited', 'but', 'almost', 'all', 'of', 'the', 'dishes', 'are', 'excellent', ' <PERIOD> ']","[5, 1, 5, 3, 5, 5, 5, 5, 5, 1, 5, 3, 5]"
"['not', 'too', 'crazy', 'about', 'their', 'sake', 'martini', ' <PERIOD> ']","[5, 5, 3, 5, 5, 1, 2, 5]"
"['great', 'bagels', ' <COMMA> ', 'spreads', 'and', 'a', 'good', 'place', 'to', 'hang', 'out', 'in', ' <PERIOD> ']","[3, 1, 5, 1, 5, 5, 3, 5, 5, 5, 5, 5, 5]"
"['the', 'service', 'varys', 'from', 'day', 'to', 'day-', 'sometimes', 'they', ""'re"", 'very', 'nice', ' <COMMA> ', 'and', 'sometimes', 'not', ' <PERIOD> ']","[5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5]"
"['whoever', 'the', 'jazz', 'duo', 'was', ' <COMMA> ', 'they', 'were', 'on', 'point', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['one', 'thing', 'i', 'liked', 'about', 'this', 'place', 'is', 'that', 'i', 'never', 'felt', 'rushed', 'or', 'pressured', 'to', 'give', 'up', 'my', 'table', 'ot', 'incoming', 'guests', ' <PERIOD> ']","[5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5]"
"['this', 'place', 'is', 'a', 'great', 'bargain', ' <PERIOD> ']","[5, 5, 5, 5, 3, 5, 5]"
"['we', 'happened', 'upon', 'this', 'place', 'purely', 'by', 'accident', 'and', 'were', 'pleased', 'with', 'the', 'results', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5]"
"['unfortunately', ' <COMMA> ', 'the', 'food', 'is', 'outstanding', ' <COMMA> ', 'but', 'everything', 'else', 'about', 'this', 'restaurant', 'is', 'the', 'pits', ' <PERIOD> ']","[5, 5, 5, 1, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['deff', 'recimmend', 'bukhara', 'they', 'also', 'have', 'opened', 'two', 'new', 'locations', 'guess', 'ill', 'try', 'them', 'out', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['we', 'always', 'have', 'a', 'delicious', 'meal', 'and', 'always', 'leave', 'feeling', 'satisfied', ' <PERIOD> ']","[5, 5, 5, 5, 3, 1, 5, 5, 5, 5, 3, 5]"
"['dip', 'the', 'ingredients', 'in', 'with', 'your', 'chopsticks', ' <COMMA> ', 'swirl', 'them', 'around', ' <COMMA> ', 'and', 'eat', ' <PERIOD> ']","[5, 5, 1, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5]"
"['first', 'went', 'here', 'to', 'enjoy', 'their', 'garden', 'terrace', ' <PERIOD> ']","[5, 5, 5, 5, 3, 5, 1, 2, 5]"
"['my', 'husbands', 'was', 'perfect', ' <COMMA> ', 'my', 'was', 'well', 'done', 'and', 'dry', ' <PERIOD> ']","[5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 5]"
"['everyone', 'i', 'have', 'spoken', 'too', 'there', 'is', 'super', 'friendly', ' <COMMA> ', 'helpful', ' <COMMA> ', 'and', 'willing', 'to', 'the', 'extra', 'mile', 'for', 'a', 'customer', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'pizza', 'was', 'pretty', 'good', 'and', 'huge', ' <PERIOD> ']","[5, 1, 5, 5, 3, 5, 3, 5]"
"['sapphire', 'is', 'the', 'only', 'indian', 'restaurant', 'i', 'go', 'to', 'when', 'i', ""'m"", 'in', 'nyc', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'cuisine', 'from', 'what', 'i', ""'ve"", 'gathered', 'is', 'authentic', 'taiwanese', ' <COMMA> ', 'though', 'its', 'very', 'different', 'from', 'what', 'i', ""'ve"", 'been', 'accustomed', 'to', 'in', 'taipei', ' <PERIOD> ']","[5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'heartily', 'recommend', ' <PERIOD> ']","[5, 5, 5, 5]"
"['heartland', 'brewery', 'is', 'by', 'far', 'one', 'of', 'the', 'best', 'places', 'in', 'nyc', 'to', 'make', 'new', 'friends', 'and', 'catch', 'up', 'with', 'old', 'ones', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'almost', 'hesititate', 'to', 'write', 'a', 'review', 'because', 'the', 'atmosphere', 'was', 'so', 'great', 'and', 'i', 'would', 'hate', 'for', 'it', 'too', 'become', 'to', 'crowded', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['they', 'are', 'often', 'crowded', 'on', 'the', 'weekends', 'but', 'they', 'are', 'efficient', 'and', 'accurate', 'with', 'their', 'service', ' <PERIOD> ']","[5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 3, 5, 5, 1, 5]"
"['all', 'my', 'co', ' <HYPHEN> ', 'workers', 'were', 'amazed', 'at', 'how', 'small', 'the', 'dish', 'was', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 1, 5, 5]"
"['the', 'atmosphere', 'is', 'unheralded', ' <COMMA> ', 'the', 'service', 'impecible', ' <COMMA> ', 'and', 'the', 'food', 'magnificant', ' <PERIOD> ']","[5, 1, 5, 3, 5, 5, 1, 5, 5, 5, 5, 1, 5, 5]"
"['we', 'ordered', 'the', 'special', ' <COMMA> ', 'grilled', 'branzino', ' <COMMA> ', 'that', 'was', 'so', 'infused', 'with', 'bone', ' <COMMA> ', 'it', 'was', 'difficult', 'to', 'eat', ' <PERIOD> ']","[5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5]"
"['the', 'wait', 'staff', 'is', 'friendly', ' <COMMA> ', 'and', 'the', 'food', 'has', 'gotten', 'better', 'and', 'better', ' <EXCLAMATION_MARK> ']","[5, 1, 2, 5, 3, 5, 5, 5, 1, 5, 5, 3, 5, 5, 5]"
