Sentence,Sequence
"['i', 'really', 'liked|VERB', 'this', 'place|NOUN', ' <PERIOD> ']","[5, 5, 3, 5, 5, 5]"
"['i', 'will|VERB', 'be|VERB', 'going|VERB', 'back', 'very', 'soon', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5]"
"['all|ADJ', 'the', 'money|NOUN', 'went|VERB', 'into', 'the', 'interior|ADJ', 'decoration|NOUN', ' <COMMA> ', 'none|NOUN', 'of', 'it', 'went|VERB', 'to', 'the', 'chefs|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 1, 5]"
"['the', 'seats|NOUN', 'are|VERB', 'uncomfortable|ADJ', 'if', 'you', 'are|VERB', 'sitting|VERB', 'against', 'the', 'wall|NOUN', 'on', 'wooden|ADJ', 'benches|NOUN', ' <PERIOD> ']","[5, 1, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'asked|VERB', 'for', 'seltzer|NOUN', 'with', 'lime|NOUN', ' <COMMA> ', 'no', 'ice|NOUN', ' <PERIOD> ']","[5, 5, 5, 1, 2, 2, 5, 5, 5, 5]"
"['it', 'was|VERB', 'pretty', 'inexpensive|ADJ', 'too', ' <PERIOD> ']","[5, 5, 5, 3, 5, 5]"
"['will|VERB', 'not', 'be|VERB', 'back', ' <PERIOD> ']","[5, 5, 5, 5, 5]"
"['do|VERB', ""n't"", 'go|VERB', 'alone', '---', 'even', 'two', 'people|NOUN', 'is|VERB', ""n't"", 'enough|ADJ', 'for', 'the', 'whole|ADJ', 'experience|NOUN', ' <COMMA> ', 'with', 'pickles|NOUN', 'and', 'a', 'selection|NOUN', 'of', 'meats|NOUN', 'and', 'seafoods|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 1, 2, 2, 2, 2, 5]"
"['my|ADJ', 'suggestion|NOUN', 'is|VERB', 'to', 'eat|VERB', 'family|NOUN', 'style|NOUN', 'because', 'you', ""'ll|VERB"", 'want|VERB', 'to', 'try|VERB', 'the', 'other|ADJ', 'dishes|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5]"
"['best|ADJ', 'of', 'all', 'is|VERB', 'the', 'warm|ADJ', 'vibe|NOUN', ' <COMMA> ', 'the', 'owner|NOUN', 'is|VERB', 'super', 'friendly|ADJ', 'and', 'service|NOUN', 'is|VERB', 'fast|ADJ', ' <PERIOD> ']","[3, 5, 5, 5, 5, 3, 1, 5, 5, 1, 5, 5, 3, 5, 1, 5, 3, 5]"
"['this', 'is|VERB', ""n't"", 'a', 'value|NOUN', 'joint|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5]"
"['faan', ""'s|VERB"", 'got|VERB', 'a', 'great|ADJ', 'concept|NOUN', 'but', 'a', 'little|ADJ', 'rough|ADJ', 'on', 'the', 'delivery|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 3, 5, 5, 5, 5, 3, 5, 5, 1, 5]"
"['from', 'the', 'incredible|ADJ', 'food|NOUN', ' <COMMA> ', 'to', 'the', 'warm|ADJ', 'atmosphere|NOUN', ' <COMMA> ', 'to', 'the', 'friendly|ADJ', 'service|NOUN', ' <COMMA> ', 'this', 'downtown|NOUN', 'neighborhood|NOUN', 'spot|NOUN', 'does|VERB', ""n't"", 'miss|VERB', 'a', 'beat|NOUN', ' <PERIOD> ']","[5, 5, 3, 1, 5, 5, 5, 3, 1, 5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['great|ADJ', 'food|NOUN', 'at', 'reasonable|ADJ', 'prices|NOUN', ' <COMMA> ', 'makes|VERB', 'for', 'an', 'evening|NOUN', 'that|ADJ', 'ca|VERB', ""n't"", 'be|VERB', 'beat|VERB', ' <EXCLAMATION_MARK> ']","[3, 1, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['look|VERB', 'foward|ADJ', 'to', 'trying|VERB', 'the', 'ruben|NOUN', 'upon', 'returning|VERB', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'only|ADJ', 'other|ADJ', 'steakhouse|NOUN', 'that|ADJ', 'seems|VERB', 'to', 'hold|VERB', 'a', 'candle|NOUN', 'to', 'roth|VERB', ""'s"", 'is|VERB', 'the', 'strip|NOUN', 'house|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['we', 'usually', 'go|VERB', 'to', 'the', 'chart|NOUN', 'house|NOUN', 'to', 'celebrate|VERB', 'a', 'birthday|NOUN', 'or', 'anniversary|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['this', 'little|ADJ', 'place|NOUN', 'has|VERB', 'a', 'cute|ADJ', 'interior|ADJ', 'decor|NOUN', 'and', 'affordable|ADJ', 'city|NOUN', 'prices|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 3, 1, 2, 5, 3, 5, 1, 5]"
"['you', ""'ll|VERB"", 'adore|VERB', 'it', ' <PERIOD> ']","[5, 5, 3, 5, 5]"
"['two', 'words|NOUN', ' <COLON> ', 'free|ADJ', 'wine|NOUN', ' <PERIOD> ']","[5, 5, 5, 3, 1, 5]"
"['the', 'price|NOUN', 'is|VERB', 'reasonable|ADJ', 'although', 'the', 'service|NOUN', 'is|VERB', 'poor|ADJ', ' <PERIOD> ']","[5, 1, 5, 3, 5, 5, 1, 5, 3, 5]"
"['the', 'quantity|NOUN', 'is|VERB', 'also', 'very', 'good|ADJ', ' <COMMA> ', 'you', 'will|VERB', 'come|VERB', 'out', 'satisfied|ADJ', ' <PERIOD> ']","[5, 1, 5, 5, 5, 3, 5, 5, 5, 5, 5, 3, 5]"
"['i', 'have|VERB', 'been|VERB', 'to', 'roth|VERB', ""'s|VERB"", 'twice|ADJ', 'and', 'both', 'times|NOUN', 'were|VERB', 'very', 'disappointing|ADJ', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
"['worth|ADJ', 'visiting|VERB', 'the', '1st|ADJ', 'ave|NOUN', 'spot|NOUN', 'because', 'it', 'is|VERB', 'the', 'original|ADJ', 'store|NOUN', ' <PERIOD> ']","[3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'stumbled|VERB', 'upon', 'this', 'second|ADJ', 'floor|NOUN', 'walk|NOUN', ' <HYPHEN> ', 'up|NOUN', 'two', 'fridays|NOUN', 'ago', 'when', 'i', 'was|VERB', 'with', 'two', 'friends|NOUN', 'in', 'town|NOUN', 'from', 'l.a', ' <PERIOD> ', 'being|VERB', 'serious|ADJ', 'sushi|NOUN', 'lovers|NOUN', ' <COMMA> ', 'we', 'sat|VERB', 'at', 'the', 'sushi|NOUN', 'bar|NOUN', 'to', 'be|VERB', 'closer|ADJ', 'to', 'the', 'action|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5]"
"['raga|NOUN', ""'s"", 'is|VERB', 'a', 'romantic|ADJ', ' <COMMA> ', 'cozy|ADJ', 'restaurant|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 3, 5, 3, 5, 5]"
"['the', 'fried|VERB', 'rice|NOUN', 'is|VERB', 'amazing|ADJ', 'here', ' <PERIOD> ']","[5, 1, 2, 5, 3, 5, 5]"
"['three', 'courses|NOUN', ' <HYPHEN> ', 'choices|NOUN', 'include|VERB', 'excellent|ADJ', 'mussels|NOUN', ' <COMMA> ', 'puff|NOUN', 'pastry|NOUN', 'goat|NOUN', 'cheese|NOUN', 'and', 'salad|NOUN', 'with', 'a', 'delicious|ADJ', 'dressing|NOUN', ' <COMMA> ', 'and', 'a', 'hanger|NOUN', 'steak|NOUN', 'au', 'poivre|NOUN', 'that|ADJ', 'is|VERB', 'out', 'of', 'this', 'world|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 3, 1, 5, 1, 2, 2, 2, 5, 1, 2, 2, 2, 2, 5, 5, 5, 1, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5]"
"['it', ""'s|VERB"", 'a', 'perfect|ADJ', 'place|NOUN', 'to', 'have|VERB', 'a', 'amanzing|VERB', 'indian|ADJ', 'food|NOUN', ' <PERIOD> ']","[5, 5, 5, 3, 5, 5, 5, 5, 5, 1, 2, 5]"
"['the', 'place|NOUN', 'is|VERB', 'so', 'cool|ADJ', 'and', 'the', 'service|NOUN', 'is|VERB', 'prompt|ADJ', 'and', 'curtious|ADJ', ' <PERIOD> ']","[5, 5, 5, 5, 3, 5, 5, 1, 5, 3, 5, 3, 5]"
"['at', 'the', 'end|NOUN', 'you', ""'re|VERB"", 'left|VERB', 'with', 'a', 'mild|ADJ', 'broth|NOUN', 'with', 'noodles|NOUN', 'that', 'you', 'can|VERB', 'slurp|VERB', 'out', 'of', 'a', 'cup|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 3, 1, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'just', 'wonder|VERB', 'how', 'you', 'can|VERB', 'have|VERB', 'such|ADJ', 'a', 'delicious|ADJ', 'meal|NOUN', 'for', 'such|ADJ', 'little|ADJ', 'money|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 1, 5, 5, 3, 1, 5]"
"['the', 'food|NOUN', 'was|VERB', 'delicious|ADJ', 'but', 'do|VERB', 'not', 'come|VERB', 'here', 'on', 'a', 'empty|ADJ', 'stomach|NOUN', ' <PERIOD> ']","[5, 1, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'wine|NOUN', 'list|NOUN', 'is|VERB', 'excellent|ADJ', ' <PERIOD> ']","[5, 1, 2, 5, 3, 5]"
"['so', 'garantuan|NOUN', 'that', 'you', 'ca|VERB', ""n't"", 'fit|VERB', 'them', 'in', 'a', 'toaster|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 've|VERB', 'been|VERB', 'to', 'many|ADJ', 'thai|ADJ', 'restaurants|NOUN', 'in', 'manhattan', 'before', ' <COMMA> ', 'and', 'toons|NOUN', 'is|VERB', 'by', 'far', 'the', 'best|ADJ', 'thai|ADJ', 'food|NOUN', 'i', 've|VERB', 'had|VERB', ' <LEFT PARENTHESIS> ', 'except', 'for', 'my|ADJ', 'mom|NOUN', ""'s"", 'of', 'course|NOUN', ' <RIGHT PARENTHESIS> ', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['they', 'would|VERB', 'nt', 'even', 'let|VERB', 'me', 'finish|VERB', 'my|ADJ', 'glass|NOUN', 'of', 'wine|NOUN', 'before', 'offering|VERB', 'another', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 1, 2, 2, 5, 5, 5, 5]"
"['i', 'highly', 'recommend|VERB', 'the', 'sophia|NOUN', 'pizza|NOUN', ' <PERIOD> ']","[5, 5, 3, 5, 5, 5, 5]"
"['whem', 'asked|VERB', ' <COMMA> ', 'we', 'had|VERB', 'to', 'ask|VERB', 'more', 'detailed|ADJ', 'questions|NOUN', 'so', 'that', 'we', 'knew|VERB', 'what|NOUN', 'the', 'specials|NOUN', 'were|VERB', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5]"
"['this', 'is|VERB', 'a', 'consistently', 'great|ADJ', 'place|NOUN', 'to', 'dine|VERB', 'for', 'lunch|NOUN', 'or', 'dinner|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 3, 5, 5, 5, 5, 1, 5, 1, 5]"
"['nice|ADJ', 'atmosphere|NOUN', ' <COMMA> ', 'the', 'service|NOUN', 'was|VERB', 'very', 'pleasant|ADJ', 'and', 'the', 'desert|NOUN', 'was|VERB', 'good|ADJ', ' <PERIOD> ']","[3, 1, 5, 5, 1, 5, 5, 3, 5, 5, 1, 5, 3, 5]"
"['all|ADJ', 'the', 'people|NOUN', 'that|ADJ', 'i', 'bring|VERB', 'there', 'go|VERB', 'back', 'on', 'their|ADJ', 'own|ADJ', 'and', 'bring|VERB', 'their|ADJ', 'friends|NOUN', ' <EXCLAMATION_MARK> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['after', 'really', 'enjoying|VERB', 'ourselves', 'at', 'the', 'bar|NOUN', 'we', 'sat|VERB', 'down', 'at', 'a', 'table|NOUN', 'and', 'had|VERB', 'dinner|NOUN', ' <PERIOD> ']","[5, 5, 3, 5, 5, 5, 1, 5, 5, 5, 5, 5, 1, 5, 5, 1, 5]"
"['fabulous|ADJ', 'service|NOUN', ' <COMMA> ', 'fantastic|ADJ', 'food|NOUN', ' <COMMA> ', 'and', 'a', 'chilled|VERB', 'out', 'atmosphere|NOUN', 'and', 'environment|NOUN', ' <PERIOD> ']","[3, 1, 5, 3, 1, 5, 5, 5, 3, 4, 1, 5, 1, 5]"
"['not', 'what|NOUN', 'i', 'wanted|VERB', 'to', 'hear|VERB', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5]"
"['try|VERB', 'the', 'lasagnette|NOUN', 'appetizer|NOUN', ' <PERIOD> ']","[5, 5, 1, 2, 5]"
"['pricey|ADJ', ' <COMMA> ', 'but', 'worth|ADJ', 'a', 'try|NOUN', ' <COMMA> ', 'at', 'least|ADJ', 'once', ' <PERIOD> ']","[3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', ""'ve|VERB"", 'been|VERB', 'there', 'a', 'few|ADJ', 'times|NOUN', ' <COMMA> ', 'and', 'i', 'usually', 'end|VERB', 'up', 'sitting|VERB', 'next', 'to', 'some', 'pretty', 'odd|ADJ', 'people|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'liked|VERB', 'the', 'beer|NOUN', 'selection|NOUN', ' <EXCLAMATION_MARK> ']","[5, 5, 5, 1, 2, 5]"
"['great|ADJ', 'food|NOUN', ' <COMMA> ', 'good|ADJ', 'size|NOUN', 'menu|NOUN', ' <COMMA> ', 'great|ADJ', 'service|NOUN', 'and', 'an', 'unpretensious|ADJ', 'setting|NOUN', ' <PERIOD> ']","[3, 1, 5, 3, 5, 1, 5, 3, 1, 5, 5, 5, 1, 5]"
"['go|VERB', 'here', 'for', 'a', 'romantic|ADJ', 'dinner|NOUN', 'but', 'not', 'for', 'an', 'all', 'out', 'wow', 'dining|NOUN', 'experience|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 3, 1, 5, 5]"
"['ca|VERB', ""n't"", 'wait|VERB', 'to', 'go|VERB', 'back', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5]"
"['i', 'grew|VERB', 'up', 'eating|VERB', 'dosa|NOUN', 'and', 'have|VERB', 'yet', 'to', 'find|VERB', 'a', 'place|NOUN', 'in', 'ny', 'to', 'satisfy|VERB', 'my|ADJ', 'taste|NOUN', 'buds|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['wine|NOUN', 'list|NOUN', 'selection|NOUN', 'is|VERB', 'good|ADJ', 'and', 'wine|NOUN', ' <HYPHEN> ', 'by', ' <HYPHEN> ', 'the', ' <HYPHEN> ', 'glass|NOUN', 'was|VERB', 'generously', 'filled|VERB', 'to', 'the', 'top|NOUN', ' <PERIOD> ']","[5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
"['with', 'the', 'great|ADJ', 'variety|NOUN', 'on', 'the', 'menu|NOUN', ' <COMMA> ', 'i', 'eat|VERB', 'here', 'often', 'and', 'never', 'get|VERB', 'bored|ADJ', ' <PERIOD> ']","[5, 5, 3, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'menu|NOUN', 'is|VERB', 'very', 'limited|VERB', ' <HYPHEN> ', 'i', 'think|VERB', 'we', 'counted|VERB', '4', 'or', '5', 'entrees|NOUN', ' <PERIOD> ']","[5, 1, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5]"
"['if', 'you', 'are|VERB', 'a', 'carnivore|NOUN', ' <COMMA> ', 'come|VERB', 'hungry|ADJ', 'and', 'you', 'will|VERB', 'leave|VERB', 'more', 'satisfied|ADJ', 'than', 'you', 'have|VERB', 'ever', 'been|VERB', ' <PERIOD> ']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'menu|NOUN', 'is|VERB', 'limited|VERB', 'but', 'almost', 'all', 'of', 'the', 'dishes|NOUN', 'are|VERB', 'excellent|ADJ', ' <PERIOD> ']","[5, 1, 5, 3, 5, 5, 5, 5, 5, 1, 5, 3, 5]"
"['not', 'too', 'crazy|ADJ', 'about', 'their|ADJ', 'sake|NOUN', 'martini|NOUN', ' <PERIOD> ']","[5, 5, 3, 5, 5, 1, 2, 5]"
"['great|ADJ', 'bagels|NOUN', ' <COMMA> ', 'spreads|VERB', 'and', 'a', 'good|ADJ', 'place|NOUN', 'to', 'hang|VERB', 'out', 'in', ' <PERIOD> ']","[3, 1, 5, 1, 5, 5, 3, 5, 5, 5, 5, 5, 5]"
"['the', 'service|NOUN', 'varys|VERB', 'from', 'day|NOUN', 'to', 'day-|NOUN', 'sometimes', 'they', ""'re|VERB"", 'very', 'nice|ADJ', ' <COMMA> ', 'and', 'sometimes', 'not', ' <PERIOD> ']","[5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5]"
