Sentence,Sequence
"['one', 'night', 'i', 'turned', 'the', 'freaking', 'thing', 'off', 'after', 'using', 'it', 'the', 'next', 'day', 'i', 'turn', 'it', 'on', 'no', 'gui', 'screen', 'all', 'dark', 'power', 'light', 'steady', 'hard', 'drive', 'light', 'steady', 'and', 'not', 'flashing', 'as', 'it', 'usually', 'does']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5]"
"['still', 'pretty', 'pricey', 'but', 'ive', 'been', 'putting', 'off', 'money', 'for', 'a', 'while', 'as', 'a', 'little', 'macbook', 'fund', 'and', 'finally', 'got', 'to', 'use', 'it']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['my', 'only', 'disappointment', 'with', 'the', '13', 'model', 'is', 'that', 'theyre', 'the', 'only', 'ones', 'in', 'the', 'macbook', 'pro', 'line', 'up', 'without', 'an', 'i5', 'or', 'i7', 'processor', 'and', 'dual', 'graphics', 'cards', 'however', 'the', 'tradeoff', 'is', 'that', 'you', 'achieve', 'a', 'longer', 'battery', 'life', 'of', 'about', '2', 'more', 'hours']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 1, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 3, 1, 2, 5, 5, 5, 5, 5]"
"['i', 'took', 'it', 'back', 'for', 'an', 'asus', 'and', 'same', 'thing', 'blue', 'screen', 'which', 'required', 'me', 'to', 'remove', 'the', 'battery', 'to', 'reset']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5]"
"['in', 'the', 'shop', 'these', 'macbooks', 'are', 'encased', 'in', 'a', 'soft', 'rubber', 'enclosure', 'so', 'you', 'will', 'never', 'know', 'about', 'the', 'razor', 'edge', 'until', 'you', 'buy', 'it', 'get', 'it', 'home', 'break', 'the', 'seal', 'and', 'use', 'it', 'very', 'clever', 'con']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['however', 'the', 'multitouch', 'gestures', 'and', 'large', 'tracking', 'area', 'make', 'having', 'an', 'external', 'mouse', 'unnecessary', 'unless', 'youre', 'gaming']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5]"
"['plus', 'it', 'is', 'small', 'and', 'reasonably', 'light', 'so', 'i', 'can', 'take', 'it', 'with', 'me', 'to', 'and', 'from', 'work']","[5, 5, 5, 3, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'hate', 'this', 'one']","[5, 3, 5, 5]"
"['they', 'were', 'totally', 'unconcerned', 'that', 'the', 'computer', 'was', 'not', 'correctly', 'repaired', 'in', 'the', 'first', 'place']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['toshiba', 'does', 'not', 'send', 'any', 'one', 'out', 'unless', 'you', 'have', 'paid', 'extra', 'to', 'have', 'the', 'on', 'site', 'repair', 'done']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['oh', 'boy']","[5, 5]"
"['but', 'while', 'this', 'is', 'one', 'big', 'advantage', 'as', 'you', 'may', 'know', 'from', 'the', 'company', 's', 'recent', 'commercials', 'there', 'are', 'other', 'things', 'to', 'consider', 'before', 'going', 'with', 'apple']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'love', 'the', 'way', 'the', 'entire', 'suite', 'of', 'software', 'works', 'together']","[5, 3, 5, 5, 5, 5, 1, 2, 2, 5, 5]"
"['the', 'speed', 'is', 'incredible', 'and', 'i', 'am', 'more', 'than', 'satisfied']","[5, 1, 5, 3, 5, 5, 5, 5, 5, 3]"
"['on', 'the', 'bright', 'side', 'at', 'least', 'i', 'wasnt', 'without', 'my', 'laptop', 'for', 'long', 'this', 'time']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['this', 'laptop', 'meets', 'every', 'expectation', 'and', 'windows', '7', 'is', 'great']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 3]"
"['thats', 'how', 'frustrating', 'it', 'was']","[5, 5, 3, 5, 5]"
"['i', 'can', 'barely', 'use', 'any', 'usb', 'devices', 'because', 'they', 'will', 'not', 'stay', 'connected', 'properly']","[5, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 3]"
"['the', 'one', 'down', 'side', 'to', 'it', 'is', 'that', 'when', 'i', 'play', 'a', 'certin', 'game', 'on', 'here', 'it', 'tends', 'to', 'freeze', 'up', 'sometimes', 'but', 'thats', 'the', 'only', 'bad', 'thing', 'about', 'this', 'computer']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5]"
"['no', 'backlit', 'keyboard', 'but', 'not', 'an', 'issue', 'for', 'me']","[3, 5, 1, 5, 5, 5, 5, 5, 5]"
"['when', 'i', 'finally', 'had', 'everything', 'running', 'with', 'all', 'my', 'software', 'installed', 'i', 'plugged', 'in', 'my', 'droid', 'to', 'recharge', 'and', 'the', 'system', 'crashed']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 3]"
"['i', 'cant', 'even', 'turn', 'it', 'off']","[5, 5, 5, 5, 5, 5]"
"['one', 'suggestion', 'i', 'do', 'have', 'is', 'to', 'not', 'bother', 'getting', 'microsoft', 'office', 'for', 'the', 'mac', 'expecting', 'it', 'will', 'work', 'just', 'like', 'you', 'knew', 'it', 'to', 'on', 'a', 'pc']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['pairing', 'it', 'with', 'an', 'iphone', 'is', 'a', 'pure', 'pleasure', 'talk', 'about', 'painless', 'syncing', 'used', 'to', 'take', 'me', 'forever', 'now', 'its', 'a', 'snap']","[5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'shopped', 'around', 'before', 'buying']","[5, 5, 5, 5, 5]"
"['i', 'also', 'got', 'the', 'added', 'bonus', 'of', 'a', '30', 'hd', 'monitor', 'which', 'really', 'helps', 'to', 'extend', 'my', 'screen', 'and', 'keep', 'my', 'eyes', 'fresh']","[5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['would', 'do', 'business', 'again']","[5, 5, 5, 5]"
"['the', 'machine', 'is', 'slow', 'to', 'boot', 'up', 'and', 'occasionally', 'crashes', 'completely']","[5, 5, 5, 3, 5, 1, 2, 5, 5, 3, 5]"
"['after', 'paying', 'several', 'hundred', 'dollars', 'for', 'this', 'service', 'it', 'is', 'frustrating', 'that', 'you', 'cannot', 'get', 'help', 'after', 'hours']","[5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'have', 'had', 'the', 'luxury', 'sarcasm', 'of', 'owning', '2', 'of', 'these', 'laptops']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['what', 'a', 'waste']","[5, 5, 3]"
"['it', 'was', 'a', 'total', 'dhell', 'experience', 'that', 'i', 'will', 'never', 'repeat']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['there', 'are', 'a', 'few', 'flaws', 'as', 'well', 'that', 'i', 'noticed']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['completely', 'worth', 'every', 'single', 'penny', 'dime', 'and', 'nickel']","[5, 3, 5, 5, 5, 5, 5, 5]"
"['i', 'tried', 'to', 'upgrade', 'it', 'to', 'a', 'newer', 'version', 'a', 'couple', 'of', 'months', 'ago', 'and', 'i', 'still', 'have', 'the', 'same', 'problem']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'did', 'have', 'to', 'replace', 'the', 'battery', 'once', 'but', 'that', 'was', 'only', 'a', 'couple', 'months', 'ago', 'and', 'its', 'been', 'working', 'perfect', 'ever', 'since']","[5, 5, 5, 5, 3, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5]"
"['in', 'the', 'past', 'four', 'years', 'ive', 'had', 'it', 'i', 'have', 'never', 'once', 'gotten', 'a', 'virus']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'love', 'the', 'operating', 'system', 'and', 'the', 'preloaded', 'software']","[5, 3, 5, 1, 2, 5, 5, 1, 2]"
"['they', 'were', 'great', 'in', 'handling', 'this', 'problem', 'and', 'im', 'looking', 'forward', 'in', 'purchasing', 'additonal', 'products', 'from', 'them', 'in', 'the', 'future']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['ive', 'tried', 'going', 'back', 'to', 'xl', 'but', 'there', 'still', 'problems']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'best', 'thing', 'about', 'this', 'laptop', 'is', 'the', 'price', 'along', 'with', 'some', 'of', 'the', 'newer', 'features']","[5, 3, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 3, 1]"
"['after', 'numerous', 'attempts', 'of', 'trying', 'including', 'setting', 'the', 'clock', 'in', 'bios', 'setup', 'directly', 'i', 'gave', 'upi', 'am', 'a', 'techie']","[5, 5, 5, 5, 5, 5, 5, 5, 1, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5]"
"['you', 'will', 'not', 'be', 'able', 'to', 'talk', 'to', 'an', 'american', 'warranty', 'service', 'is', 'out', 'of', 'country']","[5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['but', 'it', 'may', 'be', 'potentially', 'hundreds', 'or', 'thousands', 'in', 'the', 'near', 'future']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['has', 'met', 'or', 'exceeded', 'my', 'needs', 'for', 'a', 'compact', 'travel', 'device']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['but', 'now', 'i', 'have', 'realized', 'its', 'a', 'problem', 'with', 'this', 'brand']","[5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 1]"
"['it', 'cannot', 'save', 'the', 'correct', 'date', 'and', 'time', 'i', 'set']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'sent', 'it', 'back', 'to', 'toshiba', 'twice', 'they', 'covered', 'it', 'under', 'the', 'warranty']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1]"
"['and', 'this', 'isnt', 'just', 'my', 'one', 'experine']","[5, 5, 5, 5, 5, 5, 5]"
"['they', 'sent', 'me', 'a', 'replacement', 'part', 'and', 'without', 'informing', 'me', 'are', 'requiring', 'that', 'i', 'return', 'it', 'within', '15', 'days', 'or', 'contact', 'them', 'and', 'let', 'them', 'know', 'the', 'broken', 'part', 'will', 'be', 'returned', 'later']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'was', 'looking', 'for', 'a', 'mac', 'which', 'is', 'portable', 'and', 'has', 'all', 'the', 'features', 'that', 'i', 'was', 'looking', 'for']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5]"
"['i', 'would', 'highly', 'recommend', 'this', 'one', 'to', 'my', 'friends']","[5, 5, 5, 3, 5, 5, 5, 5, 5]"
"['i', 'honestly', 'love', 'my', 'mac', 'thats', 'why', 'i', 'am', 'a', 'self', 'proclaimed', 'mac', 'addict']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['and', 'these', 'are', 'some', 'reasons', 'you', 'should', 'get', 'a', 'macbook', 'pro']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['also', 'kinda', 'loud', 'when', 'the', 'fan', 'was', 'running']","[5, 5, 3, 5, 5, 1, 5, 5]"
"['in', 'desparation', 'i', 'called', 'their', 'customer', 'service', 'number', 'and', 'was', 'told', 'that', 'my', 'warranty', 'had', 'expired', '2', 'days', 'old', 'and', 'that', 'the', 'priviledge', 'of', 'talking', 'to', 'a', 'technician', 'would', 'cost', 'me', 'have', 'your', 'credit', 'card', 'ready']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'purchased', 'this', 'laptop', 'while', 'on', 'a', 'business', 'trip', 'to', 'keep', 'up', 'with', 'my', 'email']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['there', 'also', 'seemed', 'to', 'be', 'a', 'problem', 'with', 'the', 'hard', 'disc', 'as', 'certain', 'times', 'windows', 'loads', 'but', 'claims', 'to', 'not', 'be', 'able', 'to', 'find', 'any', 'drivers', 'or', 'files']","[5, 5, 5, 5, 5, 5, 3, 5, 5, 1, 2, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 1, 5, 5]"
"['drivers', 'updated', 'ok', 'but', 'the', 'bios', 'update', 'froze', 'the', 'system', 'up', 'and', 'the', 'computer', 'shut', 'down']","[5, 5, 3, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5]"
"['they', 'lost', 'my', 'laptop', 'for', 'a', 'month']","[5, 5, 5, 5, 5, 5, 5]"
"['spent', '2', 'hours', 'on', 'phone', 'with', 'hp', 'technical', 'support']","[5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['this', 'is', 'my', 'second', 'laptopand', 'it', 'is', 'head', 'and', 'shoulders', 'above', 'my', 'first']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['at', 'first']","[5, 5]"
"['speaking', 'of', 'the', 'browser', 'it', 'too', 'has', 'problems']","[5, 5, 5, 1, 5, 5, 5, 3]"
"['i', 'think', 'just', 'going', 'from', 'pc', 'to', 'mac', 'has', 'gotten', 'me', 'totally', 'spoiled', 'and', 'i', 'cant', 'imagine', 'ever', 'going', 'back']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'keyboard', 'is', 'too', 'slick']","[5, 1, 5, 5, 3]"
"['nightly', 'my', 'computer', 'defrags', 'itself', 'and', 'runs', 'a', 'virus', 'scan']","[5, 5, 5, 5, 5, 5, 5, 5, 1, 2]"
"['its', 'like', '9', 'punds', 'but', 'if', 'you', 'can', 'look', 'past', 'it', 'its', 'great']","[5, 5, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 3]"
"['its', 'just', 'as', 'fast', 'with', 'one', 'program', 'open', 'as', 'it', 'is', 'with', 'sixteen', 'open']","[5, 5, 5, 3, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5]"
"['still', 'under', 'warrenty', 'so', 'called', 'toshiba', 'no', 'help', 'at', 'all']","[5, 5, 1, 5, 5, 5, 3, 5, 5, 5]"
"['i', 'was', 'happy', 'with', 'my', 'purchase', 'of', 'a', 'toshiba', 'satellite', 'l305ds5934', 'laptop', 'until', 'it', 'came', 'time', 'to', 'have', 'it', 'repaired', 'under', 'the', 'toshiba', 'warranty']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'love', 'it']","[5, 3, 5]"
"['amazing', 'quality']","[3, 5]"
"['the', 'fact', 'that', 'you', 'can', 'spend', 'over', '100', 'on', 'just', 'a', 'webcam', 'underscores', 'the', 'value', 'of', 'this', 'machine']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 3, 5, 1, 5, 5, 5]"
"['i', 'mainly', 'use', 'it', 'for', 'email', 'internet', 'and', 'managing', 'personal', 'files', 'pics', 'vids', 'etc']","[5, 5, 5, 5, 5, 5, 1, 5, 1, 2, 2, 5, 5, 5]"
"['a', 'month', 'or', 'so', 'ago', 'the', 'freaking', 'motherboard', 'just', 'died']","[5, 5, 5, 5, 5, 5, 3, 1, 5, 3]"
"['the', 'system', 'it', 'comes', 'with', 'does', 'not', 'work', 'properly', 'so', 'when', 'trying', 'to', 'fix', 'the', 'problems', 'with', 'it', 'it', 'started', 'not', 'working', 'at', 'all']","[5, 1, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['then', 'after', '4', 'or', 'so', 'months', 'the', 'charger', 'stopped', 'working', 'so', 'i', 'was', 'forced', 'to', 'go', 'out', 'and', 'buy', 'new', 'hardware', 'just', 'to', 'keep', 'this', 'computer', 'running']","[5, 5, 5, 5, 5, 5, 5, 1, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5]"
"['i', 'took', 'it', 'back', 'to', 'best', 'buy', 'where', 'they', 'were', 'so', 'helpful', 'and', 'immediately', 'gave', 'me', 'a', 'new', 'one']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5]"
"['if', 'you', 'had', 'pc', 'for', 'four', 'years', 'i', 'can', 'almost', 'gaurentee', 'that', 'something', 'would', 'of', 'gone', 'wrong', 'by', 'now', 'maybe', 'even', 'forcing', 'you', 'to', 'replace', 'your', 'entire', 'computer']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5]"
"['2', 'weeks', 'after', 'giving', 'the', 'computer', 'for', 'repaircalled', 'headquarters', 'they', 'report', 'that', 'they', 'have', 'not', 'looked', 'at', 'it', 'yet', 'but', 'it', 'is', 'on', 'the', 'top', 'of', 'the', 'stack']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['this', 'machine', 'delivers']","[5, 5, 5]"
"['then', '2', 'of', 'my', 'nephews', 'were', 'going', 'into', 'music', 'and', 'both', 'fell', 'in', 'love', 'with', 'the', 'macbook', 'pro']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'complain', 'again']","[5, 5, 5]"
"['this', 'laptop', 'is', 'insane']","[5, 5, 5, 3]"
"['if', 'a', 'website', 'ever', 'freezes', 'which', 'is', 'rare', 'its', 'really', 'easy', 'to', 'force', 'quit']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 1, 2]"
"['it', 'does', 'run', 'a', 'little', 'warm', 'but', 'that', 'is', 'a', 'negligible', 'concern']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['it', 'rarely', 'works', 'and', 'when', 'it', 'does', 'its', 'incredibly', 'slow']","[5, 5, 1, 5, 5, 5, 5, 5, 5, 3]"
"['i', 'also', 'enjoy', 'the', 'fact', 'that', 'my', 'macbook', 'pro', 'laptop', 'allows', 'me', 'to', 'run', 'windows', '7', 'on', 'it', 'by', 'using', 'the', 'vmware', 'program']","[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['its', 'so', 'much', 'easier', 'to', 'navigate', 'through', 'the', 'operating', 'system', 'to', 'find', 'files', 'and', 'it', 'runs', 'a', 'lot', 'faster']","[5, 5, 5, 3, 5, 5, 5, 5, 1, 2, 5, 5, 5, 5, 5, 1, 5, 5, 3]"
"['purchased', 'a', 'toshiba', 'lap', 'top', 'it', 'worked', 'good', 'until', 'just', 'after', 'the', 'warrenty', 'went', 'out']","[5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 1, 5, 5]"
"['i', 'always', 'swore', 'by', 'pcs', 'and', 'would', 'never', 'consider', 'a', 'mac']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['what', 'an', 'elegant', 'wonderful', 'machine']","[5, 5, 3, 3, 5]"
"['this', 'is', 'now', 'my', '3rd', 'macbook', 'pro', 'and', 'i', 'really', 'honestly', 'love', 'it']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
"['for', '2', 'months']","[5, 5, 5]"
"['i', 'wanted', 'to', 'purchase', 'the', 'extended', 'warranty', 'and', 'they', 'refused', 'because', 'they', 'knew', 'it', 'was', 'trouble']","[5, 5, 5, 5, 5, 1, 2, 5, 5, 3, 5, 5, 5, 5, 5, 5]"
"['do', 'you', 'ever', 'think', 'hp', 'would', 'do', 'that', 'never']","[5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['we', 'upgraded', 'the', 'memory', 'to', 'four', 'gigabytes', 'in', 'order', 'to', 'take', 'advantage', 'of', 'the', 'performace', 'increase', 'in', 'speed']","[5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 1]"
"['its', 'not', 'like', 'i', 'have', 'used', 'for', 'half', 'a', 'year', 'and', 'then', 'complained', 'about', 'it']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['still', 'trying', 'to', 'learn', 'how', 'to', 'use', 'it']","[5, 5, 5, 5, 5, 5, 5, 5]"
"['the', 'reality', 'was', 'it', 'heated', 'up', 'very', 'quickly', 'and', 'took', 'way', 'too', 'long', 'to', 'do', 'simple', 'things', 'like', 'opening', 'my', 'documents', 'folder']","[5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 1, 2, 2, 2]"
"['i', 'bought', 'the', 'netbook', 'because', 'it', 'was', 'smaller', 'and', 'lighter', 'for', 'me', 'to', 'carry', 'around']","[5, 5, 5, 5, 5, 5, 5, 3, 5, 3, 5, 5, 5, 5, 5]"
"['the', 'genius', 'at', 'the', 'apple', 'store', 'advised', 'me', 'that', 'there', 'was', 'nothing', 'about', 'my', 'use', 'of', 'the', 'computer', 'that', 'caused', 'this', 'failure']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['well', 'save', 'our', 'money', 'to', 'replace', 'it', 'with', 'a', 'mac', 'again']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['thank', 'you', 'for', 'your', 'great', 'product']","[5, 5, 5, 5, 3, 5]"
"['this', 'company', 'truely', 'does', 'make', 'horrible', 'products', 'and', 'doesnt', 'seem', 'to', 'because', 'they', 'are', 'certain', 'things', 'like', 'this', 'never', 'happen']","[5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"['i', 'had', 'always', 'used', 'pcs', 'and', 'been', 'constantly', 'frustrated', 'by', 'the', 'crashing', 'and', 'the', 'poorly', 'designed', 'operating', 'systems', 'that', 'were', 'never', 'very', 'intuitive']","[5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 3, 5, 5, 3, 5, 1, 2, 5, 5, 5, 5, 3]"
"['sorry', 'toshiba', 'but', '1st', 'impressions', 'do', 'count', 'for', 'something']","[5, 5, 5, 5, 5, 5, 5, 5, 5]"
