ID,Sentence,Aspects,Aspect_Polarities,Opinions,Opinion_Polarities
2173,Worth visiting the 1st Ave spot because it is the original store.,NIL,NIL,worth,+1
391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi;sushi bar,neutral;neutral,NIL,NIL
263,"Raga's is a romantic, cozy restaurant.",NIL,NIL,romantic;cozy,+1;+1
2384,The fried rice is amazing here.,fried rice,positive,amazing,+1
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels;puff pastry goat cheese;salad with a delicious dressing;hanger steak au poivre;courses,positive;positive;positive;positive;neutral,excellent;delicious,+1;+1
3404,it's a perfect place to have a amanzing indian food.,indian food,positive,perfect;amazing,+1;+1
2599,The place is so cool and the service is prompt and curtious.,service;place,positive;positive,cool;prompt;curtious,+1;+1;+1
673,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,positive,mild,+1
648,I just wonder how you can have such a delicious meal for such little money.,meal;money,positive;positive,delicious;little,+1;+1
863,The food was delicious but do not come here on a empty stomach.,food,conflict,delicious,+1
1623,The wine list is excellent.,wine list,positive,excellent,+1
2177,so garantuan that you can't fit them in a toaster.,NIL,NIL,NIL,NIL
430,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Thai food,positive,best,+1
1101,They wouldnt even let me finish my glass of wine before offering another.,glass of wine,neutral,NIL,NIL
1823,I highly recommend the Sophia pizza.,NIL,NIL,recommend,+1
324,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,neutral,NIL,NIL
2783,This is a consistently great place to dine for lunch or dinner.,lunch;dinner;dine,neutral;neutral;positive,great,+1
2983,"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere;service;desert,positive;positive;positive,nice;pleasant;good,+1;+1;+1
66,All the people that I bring there go back on their own and bring THEIR friends!,NIL,NIL,NIL,NIL
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar;table;dinner,positive;neutral;neutral,enjoying,+1
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service;food;atmosphere;environment,positive;positive;positive;positive,fabulous;fantastic;chilled out,+1;+1;+1
2934,Not what I wanted to hear.,NIL,NIL,NIL,NIL
2787,Try the lasagnette appetizer.,lasagnette appetizer,positive,NIL,NIL
825,"Pricey, but worth a try, at least once.",NIL,NIL,pricey,-1
197,"I've been there a few times, and I usually end up sitting next to some pretty odd people.",NIL,NIL,NIL,NIL
604,I liked the beer selection!,beer selection,positive,like,+1
2911,"Great food, good size menu, great service and an unpretensious setting.",food;menu;service;setting,positive;positive;positive;positive,great;good;great;unpretentious,+1;+1;+1;+1
3074,Go here for a romantic dinner but not for an all out wow dining experience.,dinner;dining,positive;positive,romantic;wow,+1;+1
1479,Can't wait to go back.,NIL,NIL,NIL,NIL
1074,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,neutral,NIL,NIL
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection;wine-by-the-glass,positive;positive,good;top,+1;+1
728,"With the great variety on the menu , I eat here often and never get bored .",menu,positive,great,+1
2925,The menu is very limited - i think we counted 4 or 5 entrees.,menu;entrees,negative;negative,limited,-1
495,"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",NIL,NIL,NIL,NIL
3436,The menu is limited but almost all of the dishes are excellent.,menu;dishes,negative;positive,limited;excellent,-1;+1
3273,Not too crazy about their sake martini.,sake martini,negative,crazy,+1
1215,"Great bagels, spreads and a good place to hang out in.",bagels;spreads,positive;positive,great;good,+1;+1
183,"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,conflict,nice,+1
2511,"whoever the jazz duo was, they were on POINT.",NIL,NIL,NIL,NIL
282,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,neutral,liked,+1
1562,This place is a great bargain.,NIL,NIL,great,+1
1712,We happened upon this place purely by accident and were pleased with the results.,NIL,NIL,pleased,+1
3249,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive,outstanding,+1
2052,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,NIL,NIL,NIL,NIL
3207,We always have a delicious meal and always leave feeling satisfied.,meal,positive,delicious;satisfied,+1;+1
672,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients;chopsticks,neutral;neutral,NIL,NIL
2972,First went here to enjoy their garden terrace.,garden terrace,positive,enjoy,+1
1903,"My husbands was perfect, my was well done and dry.",NIL,NIL,perfect;well,+1;+1
2549,"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.",NIL,NIL,friendly;helpful,+1;+1
1755,The pizza was pretty good and huge.,pizza,positive,good;huge,+1;+1
2890,Sapphire is the only Indian restaurant I go to when I'm in NYC.,NIL,NIL,NIL,NIL
2277,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",cuisine,neutral,different,-1
2308,I heartily recommend.,NIL,NIL,NIL,NIL
51,Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,NIL,NIL,best,+1
3680,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,positive,great,+1
3155,They are often crowded on the weekends but they are efficient and accurate with their service.,service;crowded,positive;negative,crowded;efficient;accurate,-1;+1;+1
1688,All my co-workers were amazed at how small the dish was.,dish,negative,small,-1
598,"The atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere;service;food,positive;positive;positive,unheralded;impeccable;magnificant,+1;+1;+1
2926,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,negative,difficult,-1
3083,"The wait staff is friendly, and the food has gotten better and better!",wait staff;food,positive;positive,friendly;better,+1;+1
1388,"This place, which is only a few months old, is perhaps Queens' biggest secret!",NIL,NIL,NIL,NIL
2977,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe;French food;packed,positive;positive;negative,good;best,+1;+1
1574,This place is so much fun.,NIL,NIL,NIL,NIL
498,I was glad I did.,NIL,NIL,NIL,NIL
2604,Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza;place,positive;positive,nice;cozy;good,+1;+1;+1
473,I've never been treated so rudely.,NIL,NIL,NIL,NIL
380,I'll be back soon.,NIL,NIL,NIL,NIL
2960,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,positive,outstanding,+1
322,Went inside and I started to get excited.,NIL,NIL,excited,+1
1383,I also ordered for delivery and the restaurant forgot half the order.,delivery;order,negative;negative,forgot,-1
892,Our server checked on us maybe twice during the entire meal.,server;meal,negative;neutral,NIL,NIL
2296,"However, it is jus too good to not praise it.",NIL,NIL,good,+1
868,We have been to Montparnasse many times and return often for good reason.,NIL,NIL,NIL,NIL
2936,The strong scents coming from the left and right of me negatively affected my taste buds.,scents,negative,strong,-1
3423,We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,positive,fantastic,+1
154,It's somewhere you can eat and be happy.,NIL,NIL,happy,+1
591,"If you wrote a bad review, it's because you don't understand what Rao's is all about.",NIL,NIL,NIL,NIL
1197,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,negative,NIL,NIL
2061,but overall i give it a 10,NIL,NIL,NIL,NIL
2274,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",Spider Roll;price;shell crab,conflict;positive;positive,well worth,+1
2804,Deep Fried Skewers are good and still rare to find in NYC.,Deep Fried Skewers,positive,good;rare,+1;+1
194,"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations;hostess,neutral;negative,NIL,NIL
148,I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes;congee (rice porridge),positive;positive,recommend,+1
2747,Their tuna tartar appetizer is to die for.,tuna tartar appetizer,positive,die for,+1
2845,This was one of the BEST restaurants I've ever been to.,NIL,NIL,best,+1
187,This restaurant used to be pretty decent.,NIL,NIL,NIL,NIL
856,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",Food;chef;fish dishes;soups;kitchen;cuisine,conflict;positive;positive;positive;positive;positive,uneven;evident,-1;+1
2033,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",wine;french fare;cheese,positive;positive;positive,love,+1
1402,I love Indian food and consider myself to be quite an expert on it.,Indian food,positive,love,+1
439,Some baby pizzas get their wish.,baby pizzas,neutral,NIL,NIL
3360,Plenty of choices to make your own creation.,NIL,NIL,NIL,NIL
2949,It was tiny and I felt like I was eating in someone's living room.,NIL,NIL,NIL,NIL
570,I was there on sat.,NIL,NIL,NIL,NIL
2053,Overall A oh ya even though there is waiting it is deff worth it,waiting,negative,worth,+1
3316,The lava cake dessert was incredible and I recommend it.,lava cake dessert,positive,incredible;recomment,+1;+1
433,VT is what baby pizzas hope to be when they grow up.,baby pizzas,neutral,NIL,NIL
738,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service;food;managers,negative;negative;negative,terrible;bland;unaccommodating;horrible,-1;-1;-1;-1
1549,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food;food,positive;positive,great;tasty;cheap,+1;+1;+1
1798,The last time I went we were seated at a table in a corridor next to the kitchen.,table,negative,NIL,NIL
2941,good selection of wines ranging from affordable to high end.,selection of wines,positive,good,+1
362,"Nice restaurant overall, with classic upscale Italian decor.",Italian decor,positive,nice;classic;upscale,+1;+1;+1
2921,Not impressed with the food.,food,negative,impressed,+1
1909,The entire dining experience was wonderful!,dining experience,positive,wonderful,+1
1878,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,wine selection;reservation,positive;neutral,wonderful,+1
858,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,Service;maitre;reservation,positive;positive;negative,refined;delayed,+1;-1
3376,"Order the panang duck, it's fantastic.",panang duck,positive,fantastic,+1
173,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",Food;raw vegatables,conflict;negative,good;wondered,+1;-1
1836,"Other than the crappy service from two individuals, it's great.",service,negative,crappy,-1
1703,What more can you ask for?,NIL,NIL,NIL,NIL
3564,Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.,NIL,NIL,NIL,NIL
1404,They have authentic Indian at amazin prices.,Indian;prices,positive;positive,authentic;amazin,+1;+1
645,You are treated just like royality.,NIL,NIL,NIL,NIL
3288,"There's nice and quiet, small but enough for 6 (or more).",NIL,NIL,nice;quiet;small,+1;+1;-1
1819,Ambiance- relaxed and stylish.,Ambiance,positive,relaxed;stylish,+1;+1
1144,I've never felt more unwelcome than last month at Jimmy's Bronx Cafe.,NIL,NIL,NIL,NIL
2639,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",BBQ Salmon;Sea Bass;Crispy Duck,positive;positive;positive,luckily,+1
1474,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients;ingredients;pizza;crust,positive;positive;negative;neutral,fancy;good;right,+1;+1;+1
1553,"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).",NIL,NIL,NIL,NIL
2059,and yes Dal Bukhara is so dam good and so are all the kababs.,kababs;Dal Bukhara,positive;positive,good,+1
926,I look forward to eating here again,eating,positive,look forward,+1
2385,I've been coming here as a child and always come back for the taste.,taste,positive,NIL,NIL
2498,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal;price,positive;positive,NIL,NIL
2469,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of prosecco;mussels;glass of Leaping Lizard,positive;positive;positive,happy,+1
567,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",Food;creme brulee;sugar,neutral;negative;negative,average;awful;charred,-1;-1;-1
3517,The food always tastes fresh and served promptly.,food;served,positive;positive,fresh;promptly,+1;+1
2069,I know because I live nearby.,NIL,NIL,NIL,NIL
1599,The pizza here is delicious.,pizza,positive,delicious,+1
2860,My entire family was horrified.,NIL,NIL,NIL,NIL
1092,On a monthly basis my friends and I get together and have a girls night out.,NIL,NIL,NIL,NIL
2548,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",Pizza;delivery;garlic knots,positive;positive;positive,great;super quick,+1;+1
759,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",chinese food,positive,great,+1
3175,But who says Murray's is anything about service.,service,neutral,NIL,NIL
2209,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",food,negative,forgotten,-1
2717,I have NEVER been disappointed in the Red Eye.,NIL,NIL,disappointed,-1
1352,Hats off to the chef.,chef,positive,hats off,+1
1543,This should have been done in a back room - away from customers.,NIL,NIL,NIL,NIL
3537,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",Service;teapot,negative;positive,improved;antique-seeming,+1;+1
3213,Glad you have the luxury to throw out paying customers.,NIL,NIL,NIL,NIL
1743,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza;fresh mozzarella;cheese,positive;positive;negative,delicious;fresh;cheap;frozen;shredded,+1;+1;-1;-1;-1
1321,Its an excellent place to relax and the food is one of the best in the city of New York.,place;food,positive;positive,excellent;best,+1;+1
2907,"service is friendly, and never had a problem walking in and getting a table.",service;getting a table,positive;positive,friendly,+1
1890,The atmosphere was crowded but it was a great bistro-type vibe.,atmosphere;bistro-type vibe,conflict;positive,crowded;great,-1;+1
2675,Check it out,NIL,NIL,NIL,NIL
2588,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",waitress;tables,negative;neutral,unattentive;odd,-1;-1
2234,Don't go.,NIL,NIL,NIL,NIL
3130,The food was bland oily.,food,negative,bland oily,-1
3285,But they do.,NIL,NIL,NIL,NIL
709,"What is even better, is that the prices are very affordable as well, and the food is really good.",prices;food,positive;positive,affordable;good,+1;+1
1198,The fish is fresh but the variety of fish is nothing out of ordinary.,fish;variety of fish,positive;negative,fresh;ordinary,+1;-1
2380,Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).,NIL,NIL,NIL,NIL
2250,Suan has challenged this loyalty.,NIL,NIL,NIL,NIL
2302,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",pesto pizza;house salad;bottle of wine;meal,positive;positive;positive;positive,favorite;good,+1;+1
1110,"And Kruno, the beverage manager is the best bartender I have yet to come across.",bartender;beverage manager,positive;positive,best,+1
973,"Ambiance and music funky, which I enjoy.",Ambiance;music,positive;positive,enjoy,+1
2132,"The food, drinks and service are clearly among the best in the city.",food;drinks;service,positive;positive;positive,best,+1
231,I went there in late afternoon for some bite size food and refleshment with my date.,food;refleshment,neutral;neutral,NIL,NIL
1184,"It's a really great deal, considering we got full off of four dollars.",NIL,NIL,great,+1
250,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",ambiance;service;foods;tastes;sommlier;captain;back waiters,positive;positive;positive;positive;positive;positive;positive,romantic;alluring;five star;authentic,+1;+1;+1;+1
227,Went with mommy (the only person who could afford taking me here).,NIL,NIL,NIL,NIL
3653,My friends and I were on vacation in NY and was referred to Chance by a friend.,NIL,NIL,NIL,NIL
2988,"Last time I went here, the waitress didn't come back after taking our order.",waitress,negative,NIL,NIL
3092,Try the tandoori salmon!,tandoori salmon,positive,NIL,NIL
1166,"I am completely hooked on this place, it is ridiculous.",NIL,NIL,ridiculous,-1
3686,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",atmosphere,positive,saves;disappointing,+1;-1
1922,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",space;service,negative;positive,smaller;best,-1;+1
2978,"Have recommended the place to friends, always gets good response.",NIL,NIL,good,+1
2139,We will return many times for this oasis in mid-town.,NIL,NIL,NIL,NIL
2454,I love the atmorphere @ peep!,atmorphere,positive,love,+1
1881,Enjoy!,NIL,NIL,NIL,NIL
633,We weren't!,NIL,NIL,NIL,NIL
268,This is one of my favorite restaurants and it is not to be missed.,NIL,NIL,favorite;missed,+1;-1
3613,(La Rosa is connected by a swinging door to the Mexican restaurant Pacifico).,NIL,NIL,NIL,NIL
1531,It could have been handled better.,NIL,NIL,better,+1
603,The service was attentive and her suggestions of menu items was right on the mark.,service;menu items,positive;positive,attentive;right,+1;+1
678,The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,three course meal,positive,delicious,+1
2690,Please be aware that it's CASH or AMEX only!,NIL,NIL,NIL,NIL
1830,"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",Pizza,positive,outstanding,+1
1408,It's a rather cramped and busy restaurant and it closes early.,NIL,NIL,cramped;busy,-1;-1
2521,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",environment;food;service,positive;negative;negative,romantic;horrible;pathetic,+1;-1;-1
1918,"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",crawfish boiled,positive,fun;tasty,+1;+1
2930,I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,neutral,NIL,NIL
2166,They were served warm and had a soft fluffy interior.,NIL,NIL,warm;soft fluffy,+1;+1
887,What came to our table was burned beyond recognition and stringy.,table,neutral,burned;stringy,-1;-1
2448,I had the Pad Thai and the noodles were sticky.,Pad Thai;noodles,negative;negative,sticky,-1
3244,"So I've never actually been to M proper, but I've had it delivered a few times.",delivered,neutral,NIL,NIL
1478,"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",values for your money,positive,best,+1
1413,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",lunch,positive,NIL,NIL
3129,The hostess is rude to the point of being offensive.,hostess,negative,rude;offensive,-1;-1
2271,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",food;wait building,positive;negative,great;stand,+1;-1
1554,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",corridor;space;counters;counter;entrees,negative;negative;negative;negative;neutral,narrow;tiny;tiny;small,-1;-1;-1;-1
2306,The food is great.,food,positive,great,+1
1975,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,steaks;salads;sides,positive;positive;positive,desired;leafy,+1;-1
3699,"Lunch came with pickels and slaw, no extra charge.",Lunch;pickels and slaw,positive;neutral,extra,-1
2875,Decent wine at reasonable prices.,wine;prices,positive;positive,decent;reasonable,+1;+1
2303,All conveniently delivered right to the door.,delivered,positive,conveniently,+1
2513,even the wine by the glass was good.,wine by the glass,positive,good,+1
458,Nice Family owned traditional restaurant.,NIL,NIL,nice,+1
809,would have rather tried terrace in the sky or water club for that price,price,negative,NIL,NIL
141,This dish is my favorite and I always get it when I go there and never get tired of it.,dish,positive,favorite,+1
3655,"I also ordered the Change Mojito, which was out of this world.",Change Mojito,positive,out of this world,+1
2098,Okay service.,service,neutral,okay,+1
1624,The only thing more wonderful than the food (which is exceptional) is the service.,food;service,positive;positive,wonderful;exceptional,+1;+1
1928,We were very pleasantly surprised.,NIL,NIL,pleasantly surprised,+1
2377,"The food was just awful, ATROCIOUS actually.",food,negative,awful;atrocious,-1;-1
3209,I will never visit this restaurant again.,NIL,NIL,NIL,NIL
338,The soup for the udon was soy sauce and water.,soup for the udon;soy sauce;water,negative;neutral;neutral,NIL,NIL
1630,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",anti-pasta;calamari;filling pasta mains,positive;positive;positive,excellent,+1
1907,The waitress suggested glasses of wine that went very well with the food.,waitress;food;glasses of wine,positive;neutral;positive,well,+1
1557,"(or sister, in my case!).",NIL,NIL,NIL,NIL
3408,I've eaten at many different Indian restaurants.,NIL,NIL,NIL,NIL
1535,"They might be all business at the counter when you give your order, but their food says I love you.",food;counter,positive;negative,love,+1
3202,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi;ceviche mix (special);crab dumplings;assorted sashimi;sushi;rolls;sake;banana tempura,positive;positive;positive;positive;positive;positive;positive;positive,particular;please,+1;+1
449,Try their plain pizza with fresh garlic or eggplant.,plain pizza;garlic;eggplant,positive;positive;positive,NIL,NIL
1449,Don't go there!,NIL,NIL,NIL,NIL
927,"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",servers;servers,negative;conflict,clueless;more;fine,-1;+1;+1
585,Good luck getting a table.,getting a table,negative,good luck,+1
1927,"We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.",NIL,NIL,NIL,NIL
1367,Don't look down your nose at me like that...,NIL,NIL,NIL,NIL
701,Planet Thai is great!,NIL,NIL,great,+1
345,The service is awful.,service,negative,awful,-1
293,Just don't do it.,NIL,NIL,NIL,NIL
1720,Just ignore the trendy wannabes.,NIL,NIL,NIL,NIL
1494,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",takeout menu;menu;italian dishes,positive;positive;positive,expanded;more,+1;+1
1085,"Trust me, it will be great, and all of it will be devoured in no time.",NIL,NIL,great,+1
2636,My girlfiends and I ate at O.G. again last night.,NIL,NIL,NIL,NIL
1179,I wish they had one near my office- I would go everyday.,NIL,NIL,NIL,NIL
1976,Finally!,NIL,NIL,NIL,NIL
1315,Amma has the worst value for money I have experienced in NYC over the past 2 years.,NIL,NIL,worst,-1
3194,"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",Thai food,neutral,experienced,+1
688,I think this would be a pretty good spot if it were not so overpriced and overrated.,NIL,NIL,good;overpriced;overrated,+1;-1;-1
2393,Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,hostess,positive,NIL,NIL
1278,The pizza is good though.,pizza,positive,good,+1
2201,bottles of wine are cheap and good.,bottles of wine,positive,cheap;good,+1;+1
624,You will not be disapointed at all.,NIL,NIL,disapointed,-1
3252,Walk-ins are risky too.,NIL,NIL,NIL,NIL
620,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",beers;food;pumkin tortelini;dish,positive;positive;positive;positive,different;happy;delicious;recommend,+1;+1;+1;+1
3541,They didn't give us the dinner special until we asked for it.,dinner special,negative,NIL,NIL
