,ID,Sentence,Aspects,Aspect_Polarities,Opinions,Opinion_Polarities
135,1731,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Mac software;Microsoft software;use,positive;negative;positive,easy;simpler,+1;+1
136,1863,"  My favorite by far, although the most expensive, was my Sony.",NIL,NIL,favorite;expensive,+1;-1
137,1186,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",delete  key;editing,negative;negative,problem;no,-1;-1
138,1029,Also I typed faster then then letters would show and it got to be realy annoying.,NIL,NIL,annoying,-1
139,1014,As an owner of a Toshiba Satalite laptop computer things you should know before you buy.,NIL,NIL,NIL,NIL
140,2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use;service;phone assistance;genius bar,positive;positive;positive;positive,ease;top;genius;cannot be beat,+1;+1;+1;+1
141,331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life;battery life;gaming;movie playing;web browsing;word editing,positive;positive;neutral;neutral;neutral;neutral,perfect,+1
142,1073,"I shipped out on Saturday, July 17.",NIL,NIL,NIL,NIL
143,2788,I bought it for really cheap also and it's AMAZING.,NIL,NIL,cheap;amazing,+1;+1
144,1057,"Acer has set me up with FREE recovery discs, when they are available since I asked.",recovery discs,positive,free,+1
145,1095,"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","Office Max's ""Max Assurance""",neutral,NIL,NIL
146,210,If you find yourself in the market for a new laptop (and have the money) don't exclude looking at the MBPs.,NIL,NIL,NIL,NIL
147,1718,I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc;USB,neutral;neutral,NIL,NIL
148,2770,Those things are very important - vital even!,NIL,NIL,NIL,NIL
149,642,"-They say it will take ""up to two weeks"".",NIL,NIL,NIL,NIL
150,471,I didn't like one thing about it.,NIL,NIL,n't like,-1
151,2923,"The battery life seems to be very good, and have had no issues with it.",battery life,positive,good,+1
152,3027,Enabling the battery timer is useless.,battery timer,negative,useless,-1
153,654,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Temperatures;Core Processing Unit temperatures,neutral;neutral,alright,+1
154,1340,"Yeah, to you.",NIL,NIL,NIL,NIL
155,2638,I got a mac as my HS graduation gift.,NIL,NIL,NIL,NIL
156,2099,I have now had it for 1.5 months and love it.,NIL,NIL,love,+1
157,58,It turned out it's not really a problem to have a Mac.,NIL,NIL,NIL,NIL
158,2716,Page just disapeared after you got yahoo or downloaded something.,NIL,NIL,NIL,NIL
159,2317,Images can be multi-selected and viewed swiftly or in slideshow mode.,NIL,NIL,NIL,NIL
160,1110,Going to bring it to service today.,service,neutral,NIL,NIL
161,1488,"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac,positive,saves,+1
162,488,"But we had paid for bluetooth, and there was none.",bluetooth,negative,none,-1
163,1289,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",LG notebook service center;hinge,neutral;negative,NIL,NIL
164,2985,"My daughter uses it for games, email, facebook, pictures and music.",games,neutral,NIL,NIL
165,2145,Laptop is to be used like a Netbook.,NIL,NIL,NIL,NIL
166,1573,"It is always reliable, never bugged and responds well.",responds,positive,reliable;bugged;well,+1;-1;+1
167,1928,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard;motherboard,negative;neutral,failed;new,-1;+1
168,704,"Trying to balance all of my roles leaves very little time for me to do anything, so I want to manage my time I do have to be the most efficient.",NIL,NIL,efficient,+1
169,1099,"It was slow, locked up, and also had hardware replaced after only 2 months!",hardware,negative,slow;replaced,-1;-1
170,1347,they had to replace the motherboard in April,motherboard,negative,replace,-1
171,1408,"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,positive,light;less expensive;explanatory,+1;+1;+1
172,1374,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",representive at Microsoft;system;XP,negative;negative;positive,enormous;badly,-1;-1
173,34,There is a little indent to help open it - but good luck with that.,NIL,NIL,NIL,NIL
174,2864,I love WIndows 7 which is a vast improvment over Vista.,WIndows 7;Vista,positive;negative,love;vast,+1;+1
175,815,"  Also, I have alot of trouble with it getting very hot, and not even sitting on anything to make it hot.",NIL,NIL,NIL,NIL
176,2801,It Was a great deal after all.,NIL,NIL,great,+1
177,1568,This mac is great!,NIL,NIL,great,+1
178,30,"Keyboard is great, very quiet for all the typing that I do.",Keyboard,positive,great;quiet,+1;+1
179,362,I grew up in a design family so it only made sense.,NIL,NIL,NIL,NIL
180,619,Gave phonenumber.,NIL,NIL,NIL,NIL
181,708,It would take up too much time to do reaearch for my papers and I would be up hours-just because the computer was too slow.,NIL,NIL,slow,-1
182,167,Oh my goodness-I am not a happy camper.,NIL,NIL,NIL,NIL
183,474,Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,Dell's customer disservice,negative,insult;good;shoddy,-1;+1;-1
184,1563,I'd recommend this laptop to anyone!,NIL,NIL,recommend,+1
185,172,"Yet, HP won't do anything about the problem.",NIL,NIL,NIL,NIL
186,1396,i'm returning mine,NIL,NIL,NIL,NIL
187,156,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",cooling system;use,negative;neutral,NIL,NIL
188,2095,"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.",quad core I7,positive,problem,-1
189,46,It's a bummer and one out of five is being kind.,NIL,NIL,NIL,NIL
190,418,"This is what they told me: It heats up, and that is the reason we no longer call them laptops, and simply categorize them as portables.",NIL,NIL,NIL,NIL
191,1722,"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",sales associate,positive,knowledgeable,+1
192,2004,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",system;Windows applications,positive;neutral,bang-up,+1
193,2296,You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program,negative,inefficient,-1
194,1514,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,NIL,NIL,fast,+1
195,2699,One of them seems to have worked.,NIL,NIL,NIL,NIL
196,524,Which I still use and have hooked up to my TV.,NIL,NIL,NIL,NIL
197,155,The problem I had with this unit was unresolvable.,NIL,NIL,unresolvable,-1
198,493,It weighed like seven pounds or something like that.,weighed;seven pounds,neutral;neutral,NIL,NIL
199,902,"2 months later, the battery went.",battery,negative,NIL,NIL
200,2433,You may need to special order a bag.,bag,neutral,NIL,NIL
201,1675,It's color is even cool.,color,positive,cool,+1
202,3000,and it has blue screen crashed on me twice.,NIL,NIL,NIL,NIL
203,954,  Another two weeks later and it was back in my possession.,NIL,NIL,NIL,NIL
204,609,keys are all in weird places and is way too large for the way it is designed.,keys;designed,negative;negative,weird;large,-1;-1
205,50,"I've owned every ""Pro"" model Apple laptop for the last 8 years, this is BY FAR the WORST one I've ever had.",NIL,NIL,worst,-1
206,1265,We purchase the Dell XPS several years ago for my home business.,NIL,NIL,NIL,NIL
207,2150,"Have purchased many products over the years from MacConnection and this transaction, like all the others, we smoothly with no problems.",NIL,NIL,NIL,NIL
208,1777,I would recommend anyone to buy from pcconnection express.,NIL,NIL,recommend,+1
209,296,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",style;speed,positive;positive,no comparison;cool,+1;+1
210,1585,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,NIL,NIL,NIL,NIL
211,2444,I'm pleased.,NIL,NIL,pleased,+1
212,2335,The keyboard feels good and I type just fine on it.,keyboard,positive,good;fine,+1;+1
213,1635,"With a healthy pessimism, I took the machine home and tried to find a flaw.",NIL,NIL,NIL,NIL
214,1661,Shiny  This Laptop is the Best of the best!,NIL,NIL,best,+1
215,2416,I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad,neutral,dirty,-1
216,1471,"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",battery,negative,less,-1
217,1388,"Don't waste their money, save it and but a mac.",NIL,NIL,NIL,NIL
218,715,Money and time well spent!,NIL,NIL,well,+1
219,1901,  Gradually the freezing screen evolved into a screen that froze in weird shapes.,NIL,NIL,froze;weird,-1;-1
220,1427,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",sales;service;DELL SUPPORT,positive;positive;positive,best,+1
221,2389,Good laptop for the money.,NIL,NIL,good,+1
222,2667,I like the laptop overall.,NIL,NIL,like,+1
223,1618,I now travel with this laptop and my work PC.,NIL,NIL,NIL,NIL
224,1460,  I am however pleased that it is still hanging in there.,NIL,NIL,pleased,+1
225,2964,Both my husband and I have this model Toshiba.,NIL,NIL,NIL,NIL
226,911,"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",hard drive;motherboard,neutral;neutral,jar,-1
227,2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed;construction quality;longevity;cost,positive;positive;positive;conflict,more;make up,-1;+1
228,2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","keyboard;keys;configuration of ""extra key""",positive;positive;positive,comfortable;no;strange,+1;+1;-1
229,2331,) I also tried the touch pad and compared it to other netbooks in the store.,touch pad,neutral,NIL,NIL
230,599,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use;security;pricetag,positive;positive;conflict,more expensive;ease;well worth,-1;+1;+1
231,823,"It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",use;work,negative;negative,stuck,-1
232,3006,lots of preloaded software.,preloaded software,positive,lots,+1
233,1861,"  Sony, Acer, Dell, Packard Bell and Toshiba.",NIL,NIL,NIL,NIL
234,1301,"and then, a guy came out to serve me instead.",NIL,NIL,NIL,NIL
235,788,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,NIL,NIL,NIL,NIL
236,2056,Have returned that laptop unused.,NIL,NIL,NIL,NIL
237,825,  Will probably never buy a HP again.,NIL,NIL,NIL,NIL
238,1823,I got tired of buying laptops and having them stop working after a year.,NIL,NIL,NIL,NIL
239,2439,I should have been more observant.,NIL,NIL,NIL,NIL
240,2941,"I wish it had a webcam though, then it would be perfect!",webcam,negative,perfect,+1
241,2776,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,vga port;screen,positive;neutral,favorite,+1
242,1686,Another thing I might add is the battery life is excellent.,battery life,positive,excellent,+1
243,2091,"One drawback, I wish the keys were backlit.",keys,negative,drawback,-1
244,727,"When the buyer returned it Wal Mart just boxed it, taped it shut  resold it as new.",NIL,NIL,NIL,NIL
245,3001,What a great little laptop.,NIL,NIL,great,+1
246,1259,"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",software,positive,nicer;no problem,+1;+1
247,2938,I wish the volume could be louder and the mouse didnt break after only a month.,volume;mouse,negative;negative,louder;break,+1;-1
248,2574,"I play a lot of casual games online, and the touchpad is very responsive.",touchpad,positive,responsive,+1
249,2351,"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",boots up,positive,new;quicker,+1;+1
250,526,It caught a virus that completely wiped out my hard drive in a matter of hours.,hard drive,negative,wiped out,-1
251,2891,WOULD PAY MORE FOR IT IF I HAD TOO!,NIL,NIL,NIL,NIL
252,2717,Couldn't keep a page up you were working on!,NIL,NIL,NIL,NIL
253,3020,"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",look and feel standpoint,positive,sturdy,-1
254,2541,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari;safari;Mozzilla firfox,negative;negative;positive,like;love,+1;+1
255,1069,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",Bluetooth;fingerprint reader driver;software,negative;negative;negative,NIL,NIL
256,1553,"Great battery, speed, display.",battery;speed;display,positive;positive;positive,great,+1
257,355,I would not recommend this product to anyone.,NIL,NIL,recommend,+1
258,602,I like to use it at the race track to handiecap the horse races.,NIL,NIL,NIL,NIL
259,2502,I was given a Mac as a birthday present and couldn't be happier with it 3 years later.,NIL,NIL,n't be happier,+1
260,2874,"The delivery was fast, and I would not hesitate to purchase this laptop again.",delivery,positive,fast,+1
261,2385,I've been impressed with the battery life and the performance for such a small amount of memory.,battery life;performance;memory,positive;positive;negative,impressed;small,+1;+1
262,198,do a quick search on the internet see if im the only one.,NIL,NIL,NIL,NIL
263,211,I'm extremely happy with my purchase as I now have the portable power I have been looking for.,NIL,NIL,happy,+1
264,1654,"It's applications are terrific, including the replacements for Microsoft office.",applications;Microsoft office,positive;positive,terrific,+1
265,3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",Resolution;appearance;cooling system;graphics card,negative;negative;negative;negative,nothing,-1
266,1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in webcam;built-in mic;cam;mic,negative;negative;negative;negative,shorting out;suffered,-1;-1
267,104,Is this partially due to the fact that it is running Windows Vista?,Windows Vista,neutral,NIL,NIL
268,419,"You might think, I am new in this game, but I am a gadget lover, and have had more than 2 dozens laptops in the past 15 years, and none gets this hot, that fast.",NIL,NIL,NIL,NIL
269,630,I was informed that I need to call some 0900 number first.,NIL,NIL,NIL,NIL
270,694,I really wanted a Mac over a pc because I used a Mac in high school.,NIL,NIL,NIL,NIL
271,189,"1) Payed $2200 for a ""premium"" laptop",NIL,NIL,NIL,NIL
272,2616,I BOUGHT THEM FOR MY COLLEGE AGE GRANDCHILDREN AND THESE MACS ARE TOTALLY RELIABLE AND SUPPORT THEIR CLASS WORK 100% OF THE TIME.,NIL,NIL,reliable,+1
273,1417,The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,board;connector;power supply;warrenty;power supply,negative;negative;negative;negative;negative,bad;issues,-1;-1
274,1045,Do not purchase this laptop.,NIL,NIL,NIL,NIL
